Channel Index,Mean Activation,Variance
518,5.3478503,8.235266
629,4.0194883,3.1160698
284,3.467667,5.278805
137,2.8756268,3.942369
936,2.7047422,3.2801476
785,2.4824562,3.351547
213,2.4805079,3.7500434
241,2.4456434,2.9247422
6,2.4087532,0.77222717
86,2.3315172,2.8979416
792,2.1711426,2.7362485
461,2.1635828,1.2546409
1003,2.092699,2.8460448
26,2.0885453,3.5441628
407,2.0193052,2.9415226
406,1.9695039,2.3783145
821,1.9363914,0.67547345
449,1.929317,1.1045871
1004,1.8577758,4.175165
85,1.8556019,4.0859857
752,1.8462007,2.183037
196,1.779542,3.2039704
672,1.7607794,2.2621133
80,1.7501911,3.5246637
762,1.7384558,2.0446506
469,1.7080384,3.7065053
397,1.6851367,2.1095634
816,1.6562204,2.7536836
225,1.6345875,2.4177887
639,1.6125934,1.4799215
708,1.61126,3.0177076
865,1.6004903,2.4186156
952,1.5971544,0.9500309
546,1.5674105,1.8495243
779,1.5629705,0.5480408
991,1.5543317,3.1593618
61,1.5516995,1.8041102
649,1.5425149,0.904882
221,1.5347141,1.3167274
933,1.5042562,2.649818
903,1.4795175,2.16978
982,1.4659203,1.3827951
990,1.4301199,3.6286602
294,1.4257836,2.0378747
287,1.4222972,2.305613
791,1.3960766,3.3029394
512,1.3901262,1.4733015
582,1.3871685,1.4793875
686,1.3633311,1.0300697
776,1.3307977,1.327631
620,1.2899046,2.2254024
595,1.2893765,3.181787
798,1.2826087,2.150528
866,1.2816055,0.5502367
861,1.2762475,0.964568
665,1.2738864,1.7204894
729,1.2662883,1.364214
626,1.2455547,1.1430876
48,1.2453928,1.1817108
890,1.2394034,1.6173865
827,1.2382835,1.1809018
368,1.2329849,2.1167274
77,1.2279744,0.6423992
220,1.2255173,1.5012565
391,1.1819462,0.60345566
834,1.1785002,2.2432406
249,1.1725736,1.5663469
694,1.1684821,0.9654511
152,1.166511,0.87846714
245,1.1612034,0.22793865
297,1.1532936,0.9755509
435,1.1507226,2.5490499
743,1.1239319,3.6934683
880,1.1103804,1.2223974
1007,1.1019173,2.3915062
870,1.0970535,1.2299364
734,1.094271,2.5856986
557,1.0914491,0.97986877
1011,1.0903507,2.0771139
274,1.0857531,1.0278325
46,1.0786507,1.1349245
431,1.0748669,1.4377458
296,1.0560435,5.603059
140,1.0559301,1.3069804
183,1.0456166,1.0691121
504,1.0389726,2.3677995
436,1.0386221,1.5860225
182,1.0296264,5.075213
236,1.0288752,1.5932764
968,1.0224432,0.8943708
772,1.0182452,1.8804374
283,1.0166904,1.4409959
33,1.01584,0.6738261
767,1.0112665,0.80758923
841,1.0078247,1.6739373
387,1.0030156,0.7858429
543,0.9959508,1.2544574
18,0.9958838,0.6602722
209,0.99300396,0.938007
621,0.9875689,1.9516162
822,0.9812907,2.066009
231,0.9785762,1.1721842
706,0.96979916,1.4264508
572,0.95634675,0.30797973
248,0.9497947,1.7301548
65,0.9426179,1.1423883
361,0.93165684,1.2624404
374,0.92967176,0.80192864
534,0.925483,1.1522573
422,0.92509615,0.3416006
575,0.92426234,1.1209981
872,0.91848344,1.6178863
275,0.9148041,1.188979
235,0.90672755,1.6537234
1,0.9058931,1.2765138
803,0.8956239,0.9903251
559,0.8910732,0.90229404
541,0.88784504,1.6865054
593,0.88270724,1.2789772
326,0.8819909,1.3323271
455,0.8682015,2.2517223
739,0.8642212,0.34783596
600,0.85690266,1.9854428
555,0.85487235,0.5381168
379,0.84673774,0.8414457
467,0.8420811,0.32900548
5,0.8370534,0.71185666
601,0.83557975,1.3932679
336,0.8325098,1.4483156
