Channel Index,Mean Activation,Variance
629,4.4051666,3.5388536
518,3.1258957,6.129048
6,2.553238,0.7250744
249,2.506104,4.4726877
213,2.4414387,3.7028487
936,2.4017859,3.212719
284,2.3396614,4.64347
241,2.3339782,3.68958
137,2.2395837,4.00786
1003,2.2125096,2.732431
221,2.0313714,1.7776611
406,1.9549702,2.653968
546,1.949133,2.5060375
672,1.9463494,2.1578016
752,1.9314193,2.574058
86,1.926252,2.4993749
407,1.9204221,3.5195029
639,1.8972027,1.0905344
48,1.8802483,1.8221732
792,1.8637505,1.671952
469,1.8332877,3.418247
821,1.8330153,1.3589277
461,1.8239399,1.3330901
952,1.7973781,1.0794642
143,1.7800984,3.7690632
665,1.7730248,2.0444493
225,1.7045467,2.9738154
866,1.6927431,0.7470956
762,1.6696506,1.7737544
1011,1.658262,4.038096
982,1.6513028,1.7908008
266,1.6036422,4.564921
397,1.5235592,1.6208905
196,1.5203949,3.3738208
368,1.5091345,3.6573086
449,1.4854479,1.0932087
557,1.479913,1.8173344
865,1.4385704,2.06873
46,1.4141767,1.9766912
785,1.4126713,2.048203
467,1.4090537,0.45435798
686,1.3919327,0.702086
626,1.365309,2.014797
26,1.3412001,2.1850054
729,1.3140465,1.3947898
297,1.3119087,1.3616138
287,1.2866111,2.3672545
816,1.2801194,2.307015
512,1.2618777,1.4824239
601,1.2367098,2.1685698
827,1.233021,1.3503108
1007,1.2280414,2.7241492
708,1.2227287,1.8814669
283,1.2188718,1.5863314
294,1.2140548,1.5486348
1013,1.208588,1.5343044
77,1.2031057,0.73159635
431,1.1867872,1.5907965
273,1.1676593,1.4236312
183,1.1465147,1.1403179
387,1.1453063,0.9993745
706,1.1445992,1.7523816
471,1.1386696,1.7818668
861,1.1243758,1.0295275
182,1.1108887,3.4956565
61,1.094908,1.5537297
335,1.0853647,1.9128876
336,1.08092,2.1763594
468,1.0748005,1.9080482
5,1.0566514,1.3783331
852,1.0538514,1.3522624
140,1.0476938,1.2119184
649,1.0438019,1.0115457
884,1.0338483,2.9444983
478,1.0218283,1.6318544
481,1.019794,1.2976161
631,1.0128801,0.94441134
772,1.0079418,1.9023814
620,1.0006528,1.8587991
102,0.99527484,1.5069988
991,0.9941844,2.3366852
255,0.975782,1.0636778
870,0.9711621,1.2633556
734,0.9662469,1.8073943
559,0.96060216,1.0868783
968,0.95925915,0.8491431
697,0.9568097,1.0322553
80,0.95433897,2.1196084
222,0.95115215,1.90463
555,0.9471613,0.6748873
248,0.94062924,1.6657221
890,0.93341124,1.2025483
33,0.9316623,0.63956213
776,0.9311288,0.84883773
236,0.9302451,2.03098
822,0.92988294,1.9193873
621,0.92933625,1.7745149
23,0.92565507,2.230162
18,0.9208567,0.7250755
56,0.9158332,1.4853714
436,0.9044179,1.4392505
798,0.90142167,1.0860152
110,0.8926003,1.6791626
378,0.8917226,1.3901834
326,0.89113784,1.4394382
978,0.8907641,1.5673999
901,0.8826606,0.9091559
162,0.88180065,0.97960883
272,0.8789271,1.0025127
532,0.87754023,1.8576212
933,0.8691659,0.85067415
187,0.8649148,1.1565413
398,0.86286634,0.6746695
494,0.86121655,1.0107741
594,0.85972565,1.5267643
245,0.8594494,0.23404591
235,0.85691607,1.3044856
374,0.8536103,0.5735291
152,0.8518767,0.97357064
65,0.8494998,1.3504827
209,0.8481473,1.3327703
607,0.8462578,0.91036147
455,0.8443264,1.812562
543,0.8398937,1.1728547
227,0.8375878,1.5604
841,0.8319576,1.3584101
582,0.83002186,1.0536875
352,0.8296947,1.0701628
880,0.82620573,0.76851654
664,0.8203497,1.4460876
743,0.81035244,2.1031487
751,0.80994046,1.523887
347,0.7962202,1.0474628
435,0.7888225,1.605637
534,0.7863468,0.8648679
520,0.784261,1.1453516
903,0.7842505,1.288107
971,0.7781774,1.2448936
264,0.77714384,1.0067897
167,0.77023757,1.3918808
951,0.7676008,0.6890609
758,0.76402247,1.3664625
702,0.7567656,0.7394657
85,0.7563198,1.4552448
367,0.73519534,1.205964
803,0.7347522,0.9112469
220,0.7342613,0.8084179
359,0.73368925,0.5040033
22,0.73196256,0.941376
60,0.72848105,1.1610045
948,0.72681284,1.0579003
465,0.72638583,0.7363193
834,0.7259984,1.6369426
541,0.7256141,1.3095057
872,0.71675766,1.2847118
127,0.71551734,1.0836921
540,0.71092147,1.0424731
539,0.71043235,1.2265685
404,0.7017884,1.2666054
472,0.69993806,1.0044426
3,0.693753,1.0211142
491,0.6892849,0.99112356
943,0.6880382,0.6254582
950,0.68711203,1.1374979
1004,0.6862675,1.2404252
940,0.68536127,1.3558776
554,0.68104756,0.57713616
507,0.6795878,0.7233423
444,0.6784723,1.0235802
1020,0.6764507,1.0080156
1010,0.67414117,0.38922632
1,0.67413175,1.066109
422,0.6735623,0.27088505
87,0.6690911,1.0928352
791,0.6682993,1.4731995
500,0.66540426,0.44114023
204,0.6585436,0.94748247
34,0.6578747,0.6520374
1009,0.6570131,0.83587843
275,0.6562604,1.189091
252,0.6523437,0.9112726
712,0.6512987,1.0507984
572,0.65115607,0.3290572
385,0.6487038,0.7934854
767,0.64334655,0.6017331
63,0.64015067,1.4444442
735,0.6375295,1.1805708
453,0.6360451,0.47016704
929,0.63523275,0.604939
881,0.6338119,0.99307275
217,0.6336806,2.2302415
593,0.6331104,0.7156929
401,0.62899303,1.2613599
778,0.6283294,0.9822681
212,0.6247924,0.6106576
361,0.6216422,1.1190562
440,0.617895,0.40044308
62,0.6170862,0.9111738
100,0.61573005,0.7262778
757,0.6154711,0.99577224
243,0.61413056,1.2158182
551,0.60959315,1.830091
211,0.6082698,1.0031995
741,0.6059108,1.5128433
892,0.6049191,0.58805776
925,0.6003158,0.5743377
990,0.594937,1.2362461
439,0.58791435,0.7204131
329,0.5849758,0.4864978
54,0.58428824,0.5926905
720,0.5826316,1.0453947
552,0.58168733,0.78517914
528,0.581405,1.0669165
119,0.5772701,0.92839605
850,0.57256055,1.2999325
970,0.567944,1.2681285
947,0.56030047,0.5516578
713,0.5578772,1.5320581
506,0.5565096,1.1248908
425,0.55436033,0.7083344
652,0.5529609,0.6583409
193,0.5529474,0.9595977
739,0.5513027,0.540429
156,0.54928374,0.533893
114,0.54640293,0.50589347
876,0.5439957,0.58055174
651,0.54207736,0.3878605
695,0.54176205,1.1232104
314,0.5406305,0.2175856
740,0.53963095,1.1750654
480,0.5395374,0.9669707
369,0.5394203,1.0007284
232,0.5264651,0.16481169
381,0.52471554,0.6646946
108,0.5228179,1.0393107
779,0.5226966,0.32840496
379,0.5202357,0.54413736
240,0.51837707,1.1950349
694,0.517211,0.51424104
923,0.5166606,0.6225953
1016,0.5161633,0.89331335
527,0.5149477,1.372212
640,0.5125811,0.74590755
47,0.5117872,0.50103205
92,0.50992423,0.7909157
343,0.506938,0.9324916
549,0.5065346,0.57320887
360,0.50584996,0.41261044
135,0.5058141,0.415709
688,0.50575864,0.5368048
448,0.504103,0.46614558
228,0.50303215,0.9855963
877,0.50243336,0.46662593
146,0.502408,0.7103256
632,0.50206196,0.6223589
474,0.50156736,0.3709423
600,0.4990437,1.1170659
583,0.49902803,0.6819847
475,0.49309587,0.6111108
403,0.4929762,0.63562304
263,0.48935682,0.24251008
556,0.48871025,0.7955129
704,0.487546,0.66728866
231,0.48701552,0.6500648
869,0.48594868,0.6591542
756,0.48455426,0.7555969
725,0.48414165,0.15494576
202,0.4816417,0.9013948
307,0.48061407,0.472771
575,0.47561902,0.6041371
813,0.47535133,0.6714511
878,0.4748442,1.3565608
526,0.46928647,0.48726887
790,0.46718353,1.0982058
683,0.46695945,0.8635835
190,0.46694535,0.5262116
504,0.46692127,0.73214924
429,0.4651173,0.58026445
320,0.46476156,0.7596202
394,0.46328032,0.4794412
987,0.46324605,0.6411265
775,0.46059376,1.1806947
107,0.4604674,0.44844437
144,0.45838124,0.27723557
905,0.4566562,1.6332016
563,0.4565637,0.37055808
120,0.45412472,0.23794812
983,0.45372266,1.3674455
176,0.45310342,0.5442233
296,0.45276773,1.2148945
