Channel Index,Mean Activation,Variance
629,5.181383,3.8917973
137,3.4971282,4.9623566
518,3.002949,6.266255
241,2.9974022,3.7923586
6,2.944621,0.5166952
48,2.6882648,2.2761939
196,2.5663028,6.8591776
406,2.4041185,3.4068823
752,2.2443924,2.671904
284,2.2239418,4.097275
461,2.081352,1.1168184
1003,2.070063,3.9274502
792,2.0651963,2.7459383
936,2.0551991,2.7604368
816,2.052587,4.1344333
225,2.0211153,3.9058871
86,1.9818821,4.2634277
213,1.8856304,3.6368995
672,1.810151,2.1258264
249,1.7999597,2.7348514
221,1.7993971,1.830229
621,1.7714077,4.885891
665,1.719132,2.3521953
866,1.7172902,0.6051121
821,1.6530539,1.1036072
297,1.6088582,1.7951014
982,1.5757797,1.8559506
46,1.56303,2.2626367
626,1.551586,1.9961772
557,1.512929,1.7764636
798,1.5081005,2.9568892
546,1.507688,1.9101815
762,1.5035515,2.3467066
785,1.4787326,2.3628798
952,1.475426,1.113013
287,1.4696276,2.3404655
469,1.4616181,3.4897542
540,1.4570483,2.158029
143,1.4494314,3.285512
639,1.4248154,1.1341553
397,1.4199518,1.5975875
467,1.3985512,0.42799655
449,1.3919361,1.2869028
378,1.3811668,2.1629083
729,1.360723,1.522011
140,1.3564923,1.7255485
209,1.3334796,1.9842327
26,1.3159922,2.6998837
407,1.3110843,2.5434885
436,1.302141,2.2851524
110,1.2749288,2.0751855
294,1.2522303,1.6899822
686,1.2478852,0.7456154
326,1.2478712,2.3693385
865,1.2442446,2.0209267
870,1.2286714,1.4388492
940,1.2281435,2.7070494
162,1.2171667,1.0892563
273,1.2170484,1.2634907
1013,1.2167821,1.8563926
23,1.2167356,3.3758297
512,1.2122958,1.7076497
607,1.2035005,1.006714
272,1.1956135,1.2681338
582,1.1881406,1.0580497
1011,1.1878512,2.8924725
923,1.1637115,1.6055288
841,1.1615989,3.153229
236,1.1582321,2.3708944
978,1.1494435,1.5120041
933,1.146327,1.3792051
539,1.1452913,2.0742135
852,1.135293,1.1818337
387,1.1262004,1.0381553
991,1.1236875,2.9870772
708,1.1159929,1.6929402
220,1.1099677,1.1841133
374,1.1071923,0.81376845
898,1.0972519,1.991498
532,1.0952585,2.590392
56,1.0944943,2.0618944
398,1.093143,0.81897
697,1.0880548,1.2740872
227,1.0825361,2.453978
152,1.0699184,1.1223873
85,1.0689304,2.9856656
872,1.0658455,2.0539083
1020,1.0625309,1.3414502
77,1.0571394,0.880891
556,1.0523726,1.7485203
664,1.0521302,2.1484199
990,1.0466669,2.75043
61,1.0418062,1.3019865
18,1.0306609,0.72886467
385,1.0205655,1.156385
706,1.010321,1.8234072
65,1.0088379,1.7576898
431,1.0081263,1.3990527
494,1.0071001,1.1212018
901,1.0050119,1.0374105
506,0.9871718,1.7998596
245,0.98672634,0.3491314
719,0.9796984,2.5261235
834,0.9785967,2.1710482
33,0.9665237,0.5716914
839,0.9655863,1.5144994
80,0.95621836,2.7277427
520,0.9561519,1.3554986
649,0.95128757,0.5950978
455,0.9505952,2.4109893
892,0.9492923,0.957794
758,0.9446722,1.3841488
478,0.9432358,2.2241244
971,0.93972635,1.5484871
968,0.93783027,0.8475807
754,0.92936313,1.2948592
903,0.9278265,1.8540567
296,0.9030129,2.6299725
167,0.8998734,1.6524537
827,0.896653,1.1673148
468,0.894135,1.4165274
222,0.8906553,2.1233125
102,0.8904748,1.8301439
881,0.8881388,1.2609811
776,0.88676655,0.64657426
593,0.8862509,1.0599484
243,0.8825796,1.7418559
1016,0.86045724,1.6247287
248,0.8600937,2.1675622
943,0.8573946,0.70423424
734,0.85682213,1.498822
606,0.8562578,1.3888505
535,0.8416583,0.8100407
803,0.8350302,0.84426785
108,0.8336849,2.0302086
262,0.8322481,1.3367286
929,0.8321,0.86405915
755,0.8304182,1.2117307
381,0.8289232,1.1986486
572,0.824661,0.3569006
100,0.82396585,0.8389803
772,0.81596184,1.5315578
1009,0.81417394,1.2533888
435,0.81386226,1.8494418
559,0.81108445,1.182195
310,0.8084997,1.7820361
379,0.8077986,0.986087
62,0.8053931,0.9799794
767,0.804067,0.88961494
756,0.8022603,1.111124
882,0.8006102,2.055628
950,0.79659075,1.1123418
193,0.79634917,1.0967424
440,0.79486954,0.48834163
183,0.79195565,0.91739535
283,0.79067695,1.2146152
702,0.78852415,0.93869126
739,0.7728182,0.5947225
264,0.77098495,1.0972731
367,0.7680409,1.2543876
751,0.76730824,1.2283765
471,0.7613392,1.380418
541,0.75961775,1.5763037
880,0.7589007,0.7148248
127,0.7581914,1.3973355
543,0.7571317,1.1969293
240,0.7519593,1.5851657
211,0.75142884,1.6892774
428,0.74745333,1.9058291
1007,0.7463778,1.79934
527,0.7420125,2.2674828
466,0.7414226,0.98166823
631,0.73595715,0.76291716
204,0.7356527,1.2205431
983,0.73491913,1.83286
500,0.7297621,0.676957
694,0.7259642,0.7230729
235,0.7235051,1.0790746
583,0.72169876,0.9279678
368,0.720393,1.1760359
202,0.71392363,1.4453406
554,0.71065,0.7182724
481,0.7097764,1.0947719
884,0.7083993,1.7715845
252,0.70712024,0.953718
266,0.703532,1.5600721
401,0.69205683,1.3676968
1,0.68612134,1.3286104
423,0.6840242,0.9379442
22,0.68082017,1.0435153
738,0.6796543,1.2450633
360,0.67060006,0.6855185
314,0.66991967,0.24512684
743,0.6662256,2.0348701
625,0.66289145,3.6040738
347,0.6602565,0.73974633
161,0.6526015,2.436424
951,0.6522131,0.57574487
465,0.65208524,0.6540461
194,0.65021,1.0303535
472,0.64683276,0.77781636
359,0.6466026,0.5356303
156,0.6450175,0.6377444
528,0.6448198,0.99217546
403,0.6440791,1.1276453
1000,0.6418337,0.7566352
948,0.63600314,0.93505144
620,0.6325637,1.2869816
601,0.63150954,1.2691938
63,0.6304143,1.6373112
791,0.629868,1.257945
713,0.6285429,1.9550964
876,0.6272346,0.7352336
327,0.62707555,0.83280253
695,0.6261686,1.2698576
87,0.62430096,1.2882601
861,0.6206404,0.7295363
218,0.617501,0.7626833
114,0.6164826,0.68774486
491,0.61492956,0.9240788
3,0.61405325,1.007672
51,0.6138777,0.4480874
890,0.6137197,0.7214297
19,0.6114597,1.6422416
375,0.6084106,0.993905
740,0.6082413,1.2482307
953,0.60704553,1.6996444
429,0.6058121,0.66385746
395,0.6039934,0.6791109
255,0.60290086,0.44983494
779,0.5975505,0.374893
594,0.59490305,1.1800206
189,0.5925964,0.34349442
555,0.592363,0.42247885
269,0.59148943,0.986504
187,0.5912711,0.86899483
352,0.5903362,0.9014189
766,0.5903305,0.6904936
551,0.58775693,1.9022038
925,0.5874956,0.7535386
822,0.5838401,0.8490709
160,0.5834142,1.015753
563,0.5833409,0.40458444
757,0.5833233,0.9299385
507,0.57770216,0.6400038
101,0.57740694,0.55915326
725,0.5765307,0.19762783
275,0.57629466,0.9010877
688,0.57319456,0.6975925
274,0.5706413,0.5564336
475,0.56788456,0.8110909
343,0.5657704,2.1022367
1004,0.5623679,1.0744561
361,0.56163317,1.0898366
425,0.55525833,0.7077943
504,0.5542401,0.73014927
453,0.5529429,0.56966066
1010,0.5519432,0.46551782
653,0.55102867,0.9156731
354,0.5499588,0.66665477
970,0.542405,1.0694202
1014,0.5401975,0.70005894
24,0.53792834,0.47253847
1021,0.536149,0.92734325
302,0.53501004,0.8073385
47,0.53249955,0.70390385
502,0.5308926,0.6139737
212,0.53068256,0.41893125
735,0.5291891,1.088824
329,0.52894557,0.33945554
422,0.528669,0.23009294
228,0.52514935,0.7531636
176,0.52480334,0.8367415
480,0.5235634,0.94484806
369,0.5231397,1.0714982
813,0.52269125,0.88501835
457,0.52226526,0.3353979
612,0.5174232,0.9117466
930,0.51542675,1.5263095
37,0.51494265,0.70116794
568,0.5145589,0.37310126
448,0.51430094,0.5025218
947,0.51387155,0.46054205
508,0.5121962,0.78124243
575,0.51079315,1.1489564
144,0.504555,0.520698
190,0.5037199,0.3905883
