Channel Index,Mean Activation,Variance
629,5.816883,3.5643387
518,4.336294,7.9923935
241,3.6947634,3.8498807
137,3.559781,3.608351
6,2.8278103,0.5516801
990,2.7455883,8.748338
86,2.4906113,3.7716403
287,2.4781203,4.31798
936,2.4223182,3.3543935
816,2.3221931,3.6756988
461,2.3058758,1.3349276
798,2.2988822,2.9475384
785,2.2882137,3.4653554
196,2.267789,2.9538507
284,2.2549467,3.6826656
225,2.2380385,3.321723
672,2.1794195,2.5657234
621,2.1433043,3.1129885
734,1.9698248,5.064249
665,1.9601254,2.7208436
406,1.95642,2.8933663
752,1.9486744,2.690898
776,1.913817,1.7273729
80,1.9029328,4.930523
686,1.835627,1.1281078
1003,1.7985439,4.736332
792,1.7822953,2.0918994
582,1.7755494,2.7258687
209,1.772662,1.6948025
865,1.762333,2.765796
236,1.7528782,4.167319
866,1.7404966,0.57782155
841,1.7338982,3.1250799
706,1.7123282,3.1463137
991,1.6896896,4.314131
326,1.6695749,2.3102865
821,1.645505,1.074409
639,1.6282289,1.2490654
1011,1.6251056,3.7339118
296,1.6219738,3.6722279
952,1.575891,1.0886927
65,1.5690066,2.6044998
546,1.5498099,2.1564684
46,1.5115039,2.1962388
297,1.5081558,1.6861554
1004,1.4880567,3.087891
557,1.4531407,1.5464361
335,1.4509189,2.9744463
968,1.4358698,1.5026236
933,1.4266284,2.0697293
310,1.4198639,3.1412191
982,1.417224,2.0560033
626,1.4036591,2.2557716
85,1.4024906,3.6860976
436,1.3855957,2.4442363
249,1.3491518,1.9720187
506,1.345478,2.6730177
227,1.345413,1.4643193
469,1.3424411,3.7561347
449,1.3399627,1.2898849
768,1.3363572,3.5765355
903,1.3333654,2.3280728
901,1.3306962,1.6094246
751,1.3139595,2.6573944
221,1.298332,1.1934979
110,1.2837093,2.3688295
167,1.2731903,1.9586675
512,1.2644972,1.6076682
971,1.2567319,2.130227
1007,1.2478569,3.1536968
520,1.2373614,1.9471185
468,1.2351688,1.8685867
248,1.2232714,2.7677052
923,1.2094399,1.4991242
539,1.1993583,2.6583028
140,1.198112,1.6874809
870,1.197767,1.5294144
978,1.1805134,1.9730481
252,1.1750715,1.8173335
77,1.1744744,0.9017407
266,1.1717331,3.0247633
143,1.1676643,2.9903922
152,1.1612332,1.3371611
397,1.1570868,1.5719917
607,1.149589,1.1472949
762,1.1493148,1.5600822
5,1.1448905,1.7244548
803,1.1434441,0.82350934
272,1.1426022,1.1675624
652,1.142318,1.9458723
898,1.1356133,2.2990477
467,1.1345444,0.3031566
740,1.1280482,2.6704936
220,1.1141193,1.7477075
940,1.1077389,2.0371525
555,1.1066173,0.60304344
48,1.0919304,1.5213091
407,1.0871114,2.0040746
892,1.0846527,1.1188617
162,1.0835007,0.9514537
779,1.0791866,0.6319501
387,1.0680759,0.95549643
766,1.0592114,1.3243906
984,1.0580956,1.002302
494,1.058067,1.6543179
852,1.0541517,0.9838588
