Channel Index,Mean Activation,Variance
629,4.559654,2.9357824
1003,3.3118756,4.542019
518,3.0311341,6.0502205
241,2.6312141,3.4338489
6,2.4758325,0.33563876
469,2.3488662,4.285192
284,2.2681313,3.2625484
665,2.264515,3.472404
86,2.2244124,2.395413
46,2.1022992,2.9576297
776,2.0717442,0.7306088
221,2.0673246,1.350529
225,2.0476635,2.650631
952,2.0135431,1.2103367
406,1.9871578,2.3658545
991,1.9841073,4.3225183
252,1.9759212,2.0699224
639,1.972549,0.74030805
137,1.9621636,2.344299
865,1.9078245,3.1348574
672,1.8941131,2.1384017
821,1.8924212,0.43112987
982,1.8901433,1.9736778
816,1.8362873,2.5676417
626,1.8362551,2.2422268
557,1.8159664,1.8342042
936,1.8150508,1.9076054
335,1.7994779,1.1884339
762,1.7957339,2.0048625
80,1.7635087,4.6843243
231,1.7577085,1.1104145
706,1.7204313,1.396656
461,1.6346178,1.0180445
297,1.6030121,1.3443309
5,1.6009777,1.0482363
152,1.595457,1.3222634
792,1.5848937,1.0403587
890,1.581953,1.25831
213,1.5746877,2.394009
407,1.5686457,2.7487013
933,1.5659281,1.7437782
102,1.5507183,1.719441
143,1.5334821,2.8000178
367,1.4886272,2.1708052
978,1.441584,1.7470222
729,1.4268084,1.3390118
196,1.422394,2.235599
449,1.4219909,0.94488263
468,1.4196773,1.4822792
183,1.391035,1.5314829
555,1.3859301,0.49764475
779,1.385051,0.5052561
752,1.3730574,1.6913393
559,1.3493841,1.3419946
245,1.311296,0.29650724
87,1.2996762,2.2163963
33,1.288933,0.74332005
272,1.2849838,1.206576
554,1.2844129,1.2107414
397,1.2777423,1.3729672
474,1.2770532,0.6755225
870,1.261067,1.3880539
287,1.2584431,1.574194
194,1.2544959,1.8545557
283,1.2472601,1.8784924
1011,1.2406387,2.840913
61,1.2369193,1.362803
436,1.2366431,2.0529346
866,1.2002596,0.5018728
347,1.1973293,1.4631373
686,1.1879585,0.5255275
841,1.1847928,1.7313037
240,1.178239,2.1272783
26,1.1701987,1.9600914
391,1.1655481,0.3805114
77,1.1627524,0.7399452
110,1.1491683,1.5521041
861,1.14904,1.260262
546,1.1238525,1.7384712
785,1.1224815,2.1240168
582,1.1196213,1.1708201
1013,1.11381,2.6360064
827,1.096351,1.3064651
971,1.0724759,1.9951173
204,1.0691372,2.0895479
387,1.0336844,0.9192735
467,1.0247607,0.16480696
664,1.0193512,1.6091616
743,1.0175905,4.2009354
