Channel Index,Mean Activation,Variance
629,5.5753183,3.613379
518,3.6934032,7.8729773
137,3.4143653,5.0491357
241,3.1952899,3.6288228
936,2.5618474,3.6640706
6,2.520625,1.0912569
816,2.4339519,4.1822653
196,2.4131265,4.239958
406,2.3009772,3.1569836
821,2.2709103,1.2201028
626,2.2546825,2.6219425
1003,2.208633,7.247917
752,2.2069926,2.7388086
225,2.1420531,3.3659425
469,2.1408587,6.3150253
46,2.018444,3.2251854
284,1.9430221,3.8051004
785,1.9349279,2.993122
461,1.831486,0.94164073
86,1.8067495,3.6254478
557,1.7382852,1.6512718
297,1.7341242,1.6756455
397,1.6788633,1.8137558
665,1.670551,2.2074919
792,1.6704669,1.642952
110,1.6600868,2.5151305
221,1.6544062,1.388486
982,1.6505706,1.8646182
672,1.6091486,2.1299405
697,1.5550108,1.433196
798,1.5492432,2.4953244
621,1.518441,2.7696939
152,1.5165527,1.7063533
143,1.5086043,3.3180075
1011,1.4862704,4.189332
162,1.484782,1.2667186
449,1.477031,1.1426584
952,1.4708632,1.0080261
85,1.4584086,3.6300116
512,1.4455345,2.275754
506,1.437278,2.6310487
287,1.4327905,2.8990293
865,1.4258317,2.7919464
65,1.402298,2.5034633
468,1.4019344,3.1015267
639,1.3906064,1.1048117
48,1.3781047,1.3900287
436,1.373702,2.1312943
706,1.3557844,2.076391
708,1.3429902,2.0603757
140,1.3400341,1.6745503
209,1.3358164,1.188102
367,1.3203177,2.6013212
991,1.314239,3.585507
213,1.3032223,2.442223
272,1.3017294,1.2378289
546,1.3003123,1.7412084
80,1.2984469,2.9573202
520,1.2971268,2.2167692
940,1.2909362,2.3891222
866,1.2900066,0.561687
978,1.2893666,1.6493142
593,1.2864826,2.0920517
378,1.2848161,1.9079173
231,1.2796242,1.9074625
543,1.2628386,1.8863513
1004,1.2625723,3.6128197
943,1.2588587,0.8460746
686,1.2572328,0.7158235
236,1.2541932,3.1033225
882,1.2476467,4.9802003
326,1.2395642,1.4492419
872,1.2354956,2.5902507
1,1.2282164,2.1862307
583,1.2255473,1.6824634
33,1.2211125,0.77276784
18,1.2192273,0.8428799
227,1.2069395,1.6908258
834,1.1980526,2.515633
890,1.1937132,1.6667585
401,1.1882616,2.2026987
990,1.1851392,3.4819772
478,1.1674798,1.7669494
582,1.1651986,1.1517862
903,1.1597277,2.0553842
269,1.1546688,2.289826
61,1.1520367,1.6321383
387,1.1448236,1.0544202
5,1.1408682,1.4359901
539,1.1356823,2.1778603
167,1.1296129,1.6236084
467,1.1163912,0.47221512
204,1.1162584,1.7726684
1013,1.1160024,1.8400763
852,1.1049749,1.350255
870,1.1001098,1.3392937
743,1.0989128,4.6940703
294,1.096549,2.006294
1009,1.0875466,1.3468585
23,1.0689406,2.8533459
762,1.0681779,1.3082474
283,1.0677133,1.8453405
220,1.0663183,1.6887031
968,1.0596507,1.3460264
555,1.0541499,0.65776414
102,1.0519843,1.6948094
779,1.0508801,0.60814166
465,1.0229675,0.9674905
56,1.0214229,1.542759
719,1.018657,2.306775
407,1.0067787,1.9499553
193,0.9979514,1.1777685
481,0.996506,1.7106032
527,0.990584,2.665709
455,0.98343277,2.0813932
1020,0.98008573,1.1540698
739,0.97995645,0.8536863
971,0.97878003,1.8232214
275,0.9603355,1.7113593
500,0.9581825,0.69620097
776,0.95785964,0.7450417
1016,0.9518424,1.5033779
77,0.95017934,0.8492713
901,0.95015204,1.0900877
245,0.9499366,0.40976322
310,0.9425413,1.8076762
841,0.9360632,1.839756
183,0.9247252,1.2488989
62,0.92070127,1.371644
248,0.90003175,1.8334787
933,0.89135677,1.268001
504,0.8873098,1.1195745
22,0.88396525,1.4543669
649,0.88261145,0.505442
664,0.88141114,1.6974277
734,0.8769512,2.262052
884,0.8764287,2.48453
249,0.8750948,1.8176239
839,0.8742355,1.0843658
740,0.8736282,1.9090497
494,0.87029,1.143996
374,0.8689643,0.6231622
861,0.86404717,0.86018217
803,0.86396617,0.69091976
240,0.8616565,2.0297563
541,0.8532596,1.6441138
361,0.85247654,1.4938033
354,0.83923733,1.1249592
347,0.8339876,1.4823914
381,0.83034956,1.4113665
631,0.8302901,0.93343866
440,0.82870924,0.53325605
127,0.8269979,1.4125963
508,0.81848145,1.1629356
751,0.81830525,1.465973
403,0.81535566,1.4407053
983,0.81177616,2.445025
335,0.8040951,1.3054491
101,0.7970835,0.9359027
827,0.7946985,1.25614
458,0.7913331,1.6586883
754,0.78108084,1.0793595
568,0.77670115,0.5821085
738,0.77575064,1.3446217
235,0.7750131,1.1178674
342,0.77474415,1.6418169
729,0.7738451,0.8833601
712,0.77257925,1.0985126
766,0.77036834,0.97616327
100,0.77021235,0.88872874
688,0.76292366,1.075072
257,0.76265967,2.6329737
756,0.7613623,1.1194776
1014,0.76083875,1.1026402
556,0.76033914,1.9289347
1007,0.75563174,1.8072486
975,0.7554027,1.5302004
