Channel Index,Mean Activation,Variance
629,4.2727294,3.3141994
518,3.487197,6.4829397
1003,2.79211,7.377847
241,2.6447845,3.372943
6,2.3919919,0.72148174
48,2.2830234,1.8879461
137,2.1504347,3.1686735
85,2.1174116,9.076832
546,2.0306916,2.7998066
649,1.9824994,2.0590706
816,1.9798383,3.6584482
461,1.9653006,1.2663722
284,1.9394007,3.4133162
672,1.8950586,2.584301
626,1.8344846,2.042216
512,1.8238654,2.4927454
469,1.811277,3.4747484
406,1.7702761,2.9047296
982,1.7659304,2.0451634
792,1.7638798,2.164799
225,1.7543335,3.2312036
952,1.7080047,1.1571503
407,1.6893744,3.0496485
221,1.6865349,1.4967905
213,1.6684546,2.7699256
936,1.6616383,2.1145415
297,1.6596602,1.6375964
143,1.6566484,3.6307216
866,1.634583,0.67495537
557,1.6124675,1.7153258
1004,1.6083971,7.55149
821,1.6064719,1.2027214
1011,1.6037545,4.35421
752,1.5882101,1.9686438
196,1.5718257,3.3364797
968,1.5589167,1.4961421
665,1.5553567,2.3578773
785,1.5321252,2.9286113
397,1.5108843,1.738836
686,1.5052785,0.9969106
639,1.5003762,1.7430779
140,1.4874701,1.7547941
595,1.4831831,17.067286
865,1.4610577,2.798589
152,1.4517459,2.0762737
77,1.4481858,1.1736336
449,1.383461,1.0754392
882,1.3806465,6.0071955
532,1.3662319,3.252071
80,1.360314,3.9999487
743,1.3413447,4.729929
697,1.3054708,1.3537861
18,1.2946799,0.68565726
23,1.2935958,3.488777
294,1.2881198,1.5473905
971,1.2765025,2.6795018
506,1.2737384,2.4049778
61,1.2736621,1.7926071
798,1.2575965,2.1995015
481,1.245985,1.6721942
436,1.2417574,2.295601
287,1.238286,1.8381796
86,1.2367961,2.1788197
762,1.2073693,1.5457515
264,1.1997718,1.7236581
467,1.1935172,0.6123316
162,1.191174,1.203657
708,1.1885575,1.5110607
235,1.1829159,1.5848601
455,1.1652225,2.5092938
991,1.1611876,2.830058
541,1.1605,2.5564017
827,1.1593034,1.5269659
182,1.1434561,4.607257
110,1.1414388,2.0992346
245,1.1356673,0.40723437
776,1.1338072,1.0391235
296,1.127123,4.3807635
664,1.1199383,2.0483117
593,1.1078153,1.8107506
209,1.1049063,1.1120551
901,1.1005979,1.455762
556,1.0975518,2.1933908
791,1.0915306,4.7899985
903,1.0721323,2.2894428
33,1.0629148,0.7343073
46,1.0426351,2.0689404
543,1.037177,1.5174901
582,1.0217266,0.86524343
204,1.0207226,1.8971057
870,1.0196016,1.4401722
385,1.0195202,1.2904307
387,1.009852,1.1417065
347,0.9958608,1.3122413
621,0.9949724,1.7400032
772,0.98493826,2.40847
520,0.96653825,1.7553077
1020,0.9665011,1.3020196
440,0.94878995,0.56823593
56,0.9476743,1.6479204
283,0.94673306,1.480283
1009,0.9445205,1.2262075
326,0.94326276,1.1321514
841,0.9408553,2.0132647
183,0.9395365,1.0443237
861,0.93624735,0.89705485
22,0.9277208,1.2303052
240,0.9271074,2.0183156
222,0.9267745,2.2853432
252,0.9246698,1.4073355
65,0.9243798,1.3047922
3,0.92336214,1.5251439
367,0.91849077,1.4584929
539,0.91590035,1.5558363
435,0.9139141,2.1412716
834,0.9078893,2.3178368
739,0.90595007,0.9034139
220,0.9051328,1.1218725
272,0.9050394,0.8950699
248,0.9026505,1.7699784
978,0.89920247,1.1003128
47,0.8954558,1.3561438
336,0.8951088,2.4466803
779,0.8951062,0.54351556
803,0.88860595,0.8123082
943,0.88538873,0.6220838
890,0.8736017,1.1401892
1,0.8709804,1.3071351
933,0.8691411,0.9966531
275,0.86575586,1.3592386
378,0.86350375,1.3549094
1007,0.8610724,2.2999828
729,0.8600755,0.9469082
583,0.8595787,1.4429603
1016,0.8593775,1.5369914
881,0.8574575,1.264477
494,0.85527325,0.87291336
500,0.84498394,0.7693191
631,0.83736926,1.4635061
478,0.83400583,1.4462988
19,0.8306396,2.0640023
706,0.8234738,1.2394841
1013,0.8213816,1.4448912
594,0.8210233,1.6697736
167,0.8200899,1.378351
236,0.8156768,1.8074473
374,0.8145722,0.5366785
767,0.8130505,0.9025698
360,0.8120872,0.7276499
102,0.81054926,1.6146182
249,0.800091,1.4419179
453,0.79490113,0.82964694
640,0.7908493,1.3078966
620,0.78833187,1.8383749
26,0.78693897,1.4114226
87,0.7845272,1.8737082
314,0.7827342,0.26310527
923,0.7749519,1.1370502
352,0.7662544,1.3439356
273,0.7658276,1.0548358
575,0.7517482,1.8659608
990,0.75019556,2.151499
269,0.74914575,2.2040653
876,0.74793136,0.8920662
540,0.74288803,1.1877851
62,0.73986316,1.0131956
925,0.71273464,1.3522974
442,0.6972339,1.1315718
466,0.69498265,0.9864582
403,0.69338965,1.0603669
754,0.6928893,1.015688
784,0.6891846,1.4497778
527,0.68617123,1.7005494
401,0.68575627,1.3993373
446,0.68528414,2.1205702
713,0.68424,1.8763101
127,0.6814661,1.1089997
379,0.6808926,0.67348695
425,0.6797538,0.95090747
702,0.67919284,0.7431147
474,0.67695165,0.5394343
405,0.67489135,0.64918816
