Channel Index,Mean Activation,Variance
629,4.961676,3.1537044
518,3.2260795,7.2911396
241,3.0130591,3.594389
137,2.9595294,4.3852463
6,2.733198,0.53222203
86,2.427072,4.5016546
196,2.4211774,4.3047867
225,2.3210592,3.7433293
1003,2.2512398,3.692742
936,2.1048908,2.5273461
46,2.0995235,3.4083874
821,2.0335338,0.74184716
284,1.8982382,2.8723078
792,1.8575097,1.2425969
816,1.8078835,3.3791335
626,1.7720807,2.2814488
461,1.7704289,1.03905
221,1.7632072,1.45286
665,1.7574254,2.474785
672,1.7122743,2.1385818
287,1.6579196,2.3135045
865,1.6541615,2.8181505
639,1.6392117,1.1481442
982,1.6372324,1.6780175
48,1.6300613,1.6387899
952,1.6175878,0.89764076
557,1.5902349,1.8071142
297,1.5743263,1.5069134
406,1.5732187,1.8169986
469,1.5652878,2.960529
752,1.5576615,1.8653746
785,1.5449848,3.127561
991,1.5180494,3.786555
397,1.469254,1.6614759
213,1.4245675,2.5580893
933,1.415464,2.1236155
152,1.3974398,1.6286683
143,1.3918581,3.2205148
449,1.3834206,0.9829518
110,1.3826195,2.4974115
776,1.3709972,0.86501604
841,1.3570211,1.9982452
866,1.3219564,0.45618945
870,1.2854202,1.6467783
236,1.2671423,2.5815268
1011,1.2668792,3.2366343
467,1.2532487,0.35288388
546,1.2464952,2.1254895
102,1.2436042,1.7206085
272,1.2430425,1.1632382
378,1.236369,1.603436
436,1.232276,1.8926319
686,1.2185574,0.6140387
407,1.203164,2.0547698
80,1.1975877,2.5973845
1013,1.1912947,2.0840328
779,1.1879973,0.5473112
762,1.1802435,1.3923944
798,1.1583552,1.4494628
990,1.1478338,2.7899082
326,1.1444384,1.43313
26,1.1381102,2.1657758
33,1.1141876,0.6972523
706,1.1134309,1.6351123
751,1.1034534,2.0271697
194,1.1021702,1.7055588
729,1.1020689,0.7744956
61,1.099124,1.2864976
245,1.0923264,0.35159194
852,1.0893244,1.2758739
554,1.0831199,1.0889275
649,1.0792707,0.5066935
978,1.0787003,1.4690393
582,1.0765108,0.9143147
209,1.0703363,0.99196833
283,1.0444864,1.8585719
940,1.0395967,1.6715497
621,1.0290228,1.5744457
140,1.0285833,1.2493253
664,1.0253589,1.7128727
252,1.0253358,1.1610487
827,1.0243957,1.2047849
890,1.0228553,1.3557181
803,1.0195315,0.83017564
697,1.0009727,1.2646055
77,0.99900043,0.758035
943,0.99753714,0.59960055
367,0.99202704,1.5391955
379,0.98993486,1.0501899
468,0.979817,1.311631
387,0.9771972,0.9068134
167,0.96886134,1.7682067
901,0.96852434,1.3887577
1,0.9642387,1.5488995
162,0.9600751,0.95000196
431,0.956751,1.4359959
240,0.95542985,1.9232466
65,0.94532734,1.3237982
555,0.9370972,0.48707068
227,0.93396354,1.3147743
930,0.9313221,2.056025
551,0.92584956,3.0183997
872,0.92173856,1.4489436
335,0.9208177,1.3705828
583,0.9140487,1.0280461
1007,0.9063618,2.0359108
391,0.9035617,0.6053777
1009,0.90342367,1.1589558
347,0.8991188,0.9188604
1016,0.89535075,1.7962179
56,0.89372367,1.5240408
694,0.88663775,0.8907671
62,0.8845121,1.5419495
968,0.8817763,0.8882197
734,0.87362254,1.2882226
861,0.87093496,0.92436993
231,0.8645414,0.8454417
5,0.8623555,0.92792577
211,0.8528539,1.7962178
1020,0.8512224,1.0693886
222,0.8490751,1.817539
743,0.84259415,3.0846725
474,0.8369961,0.46188876
294,0.83611345,1.0103731
204,0.83448094,1.238055
506,0.8311862,1.5531421
559,0.82866627,0.9375509
296,0.8252469,1.9386985
512,0.82426256,1.4090396
374,0.8218615,0.5579485
834,0.82142675,1.6211885
119,0.82111275,1.2380655
903,0.81882805,2.0892754
249,0.8166758,1.1385995
183,0.81169367,0.8872809
884,0.80874795,1.5019001
401,0.80680156,1.3616866
368,0.7869556,1.6893373
220,0.786752,0.84251016
702,0.78282374,0.75450766
971,0.7800425,1.2932725
543,0.7730744,1.1695004
494,0.768795,0.8760966
541,0.76808167,1.6165229
