Channel Index,Mean Activation,Variance
629,5.7861576,3.6083136
518,4.6978297,8.012569
137,3.6004584,4.6745377
241,3.416775,4.025627
196,3.1920218,5.4324665
936,2.8698955,4.2787175
182,2.7855191,12.781513
284,2.5108352,6.1531343
649,2.4747515,2.585671
785,2.3094647,3.629767
752,2.2920837,2.4835527
86,2.2708855,4.426084
6,2.216406,0.77010083
287,2.1986322,2.9131384
406,2.1538062,3.2795038
792,2.1375437,2.9625978
48,2.1208987,1.7707516
626,2.0500066,2.895457
816,2.031503,4.106022
461,1.977621,1.1729324
80,1.9769936,4.8314404
672,1.8758585,2.4701476
236,1.8470285,4.1187243
296,1.8411093,6.6818285
621,1.8045594,3.1314216
898,1.7766294,3.9622624
297,1.7457664,1.5124681
225,1.7178416,2.7356234
469,1.7082167,5.579361
213,1.6987104,2.973735
866,1.6532621,0.612684
798,1.6422043,2.3296137
968,1.6326797,2.0611901
326,1.6297591,2.004827
65,1.6176236,2.7495236
952,1.6062628,0.9737611
220,1.6013737,2.2176526
1003,1.5756867,5.078549
751,1.5466251,2.715283
884,1.5461321,6.4007225
209,1.5040778,1.4979582
901,1.4947586,1.4681612
982,1.4636109,1.7325311
506,1.4331069,2.8716364
834,1.4326515,2.6241813
546,1.4265693,2.0860784
221,1.4117604,1.1683776
512,1.4028144,1.6345465
933,1.4018279,2.2176375
1011,1.3970659,3.4303184
436,1.3915764,2.558002
872,1.3867682,2.6847014
397,1.3803166,1.8844471
865,1.3771967,2.1738062
557,1.3497727,1.7922301
167,1.307176,2.294052
85,1.3071256,3.5525818
983,1.296748,4.2058167
520,1.2892317,1.8301708
449,1.28405,0.87060463
110,1.2735658,2.8280797
467,1.2655408,0.77452517
762,1.2636669,1.5488346
294,1.2567483,1.7401485
870,1.2220885,1.4966004
841,1.2151732,2.1828082
1007,1.2149642,3.2253294
143,1.2082002,3.3693824
821,1.2067964,1.1708044
1,1.2049098,2.6676574
772,1.2008703,3.1314764
739,1.1798396,1.0328178
665,1.1795704,1.4854465
583,1.1776342,1.5237315
971,1.1765158,2.1631446
46,1.1740122,1.7540873
593,1.173194,1.8679798
152,1.1656214,1.2850821
62,1.1631072,1.9451346
304,1.1575556,1.7198772
140,1.1525025,1.7117565
754,1.1499697,1.4942777
162,1.1472881,1.2358962
457,1.1472163,0.95507485
19,1.1419315,2.9319582
235,1.1392248,1.6574588
740,1.1345296,2.3733294
504,1.131784,1.6988602
1004,1.119116,2.1692781
697,1.1168962,1.3271081
269,1.1103014,2.1613555
695,1.1072044,2.3797452
686,1.0894184,1.0746523
1020,1.075841,1.31722
272,1.0743601,1.18606
990,1.074219,1.8051757
61,1.0702962,1.0971584
803,1.0698509,1.001678
975,1.0658816,2.24678
822,1.0656149,1.3924626
245,1.0576568,0.4827444
556,1.0444202,1.6280655
354,1.0426433,1.3384309
17,1.0419261,1.8748745
273,1.0296553,1.4740822
882,1.0266501,2.2889128
266,1.0225117,2.9284341
198,1.0209985,1.7648685
951,1.0183425,1.327583
780,1.0132785,3.0247574
204,1.0125624,1.4350239
1009,1.0013382,1.3666819
607,1.0005403,0.90409374
500,0.9974979,0.7303741
652,0.99714875,1.3904212
612,0.98384,1.2863152
440,0.97721815,0.5681499
368,0.9756652,1.6676909
466,0.9682781,1.1134076
734,0.96811366,1.3615892
532,0.9437608,2.3290381
222,0.94042695,2.1647077
243,0.93937796,2.1320734
379,0.93931293,1.0078119
56,0.9374745,1.7208158
776,0.93544656,1.1383748
540,0.93478954,1.2658179
178,0.9296686,1.9359207
378,0.92829335,1.2461652
719,0.924649,1.9223397
227,0.9221479,1.0315096
367,0.92168367,2.2702374
1016,0.92094326,1.5753709
385,0.917658,1.1159884
505,0.91378707,1.0410433
26,0.90382874,1.6354686
582,0.90161633,1.0512047
468,0.9004031,2.470057
929,0.88324285,0.97095686
639,0.87760127,0.85974467
327,0.8769426,1.1782051
903,0.8758653,1.4437675
925,0.87531394,1.0096476
387,0.87290674,0.6907853
274,0.8709714,1.0138538
923,0.87048686,0.91708964
407,0.85750294,1.4293607
943,0.8571154,0.83889806
539,0.84937227,1.4264323
852,0.8490745,0.5872958
5,0.84880835,0.9229792
596,0.84283644,1.4950473
839,0.8387711,1.0237913
738,0.8359336,1.2943695
880,0.82161653,0.8591169
22,0.81919515,1.6630559
51,0.8186553,0.6408283
1014,0.81442344,1.0808495
156,0.8125183,0.78733206
766,0.8105141,1.1118567
791,0.80725515,1.9841409
428,0.8071753,1.8979152
248,0.80608356,1.915981
100,0.8056747,0.8547884
543,0.8043389,1.244395
52,0.80214167,1.6557364
940,0.7995695,1.2522235
343,0.7954029,1.7791579
478,0.7931266,1.3306652
264,0.7857672,1.1197009
33,0.7852888,0.7238457
827,0.78199744,1.0804378
708,0.78164446,1.1579683
425,0.77634305,1.1232687
861,0.776103,0.993809
1013,0.77068114,1.3739284
249,0.7681519,1.4815369
892,0.76812935,1.0816754
481,0.7660243,1.6310552
3,0.761449,1.6563287
575,0.75371474,1.2805493
881,0.74681526,1.0152054
757,0.7459794,1.0752356
336,0.74491227,1.2693278
252,0.7408025,1.3615782
767,0.7407769,0.63183385
595,0.72930074,1.7215414
779,0.7251021,0.47048932
999,0.72109425,0.89376146
494,0.72108054,0.8127305
23,0.72088146,1.7515086
431,0.7164429,1.1748185
370,0.7109978,1.4902676
161,0.70976675,1.5281509
455,0.7092687,1.7936971
572,0.70743227,0.47909576
47,0.7065557,0.99829316
465,0.7057981,0.6947259
423,0.7048924,1.1488516
930,0.7035254,1.567164
127,0.7022901,1.389207
183,0.6992695,1.1140677
341,0.69217783,2.030953
18,0.6828199,0.5741193
202,0.67841834,1.3143432
568,0.67427003,0.5038672
187,0.6720941,1.0271454
631,0.67133105,0.81056964
600,0.6662619,1.3235726
984,0.6658219,0.48855335
329,0.66307503,0.49500322
715,0.663001,1.444105
310,0.66270375,1.1332377
374,0.66043264,0.52949816
413,0.6588324,0.9370778
666,0.65822697,0.5743573
193,0.6557091,0.89564544
176,0.6521354,1.3273083
768,0.6500818,0.8743178
828,0.6485784,0.8463302
533,0.64850336,1.0372256
729,0.6474909,0.6306407
24,0.644011,0.630363
742,0.6390256,1.5214664
656,0.63615805,0.65638036
20,0.6352757,1.0881115
759,0.6341158,0.61815333
347,0.6329836,1.1421723
750,0.6322919,1.564216
541,0.6321423,1.404873
302,0.63062,0.77783585
352,0.63044953,0.9533104
563,0.62924826,0.40983647
755,0.6288073,1.0489323
1010,0.6281431,0.5974535
756,0.6270706,0.8264725
535,0.6242863,0.5213515
918,0.62372243,1.0334666
712,0.62332535,0.86175853
743,0.6224725,2.8203094
