Channel Index,Mean Activation,Variance
629,4.889687,4.6750093
86,2.9928474,5.2408843
518,2.934051,5.769779
137,2.753374,5.1685495
241,2.7338562,3.6879396
6,2.545703,0.42407727
284,2.3651896,3.7765536
225,2.1980424,3.4737449
26,2.1664245,3.4508362
461,2.005684,1.2819841
1011,1.9479346,4.535489
406,1.9284549,2.590289
821,1.8824282,1.2198751
196,1.8490474,4.164786
952,1.8384676,1.0028479
752,1.8318017,2.4060278
621,1.8094127,3.883721
1003,1.774085,4.0782404
672,1.7731483,2.0316641
469,1.7641366,4.5216045
249,1.7536412,2.532379
936,1.7139788,2.3497918
48,1.6950569,2.2507262
665,1.6820883,1.8262322
236,1.6806439,3.8988616
933,1.6779304,2.7660422
982,1.6557274,1.7715087
221,1.621088,1.2900357
792,1.6164715,1.7778869
776,1.6005962,1.3654015
686,1.5455978,0.7550826
785,1.5310959,2.2485714
706,1.528722,2.8003004
296,1.515565,4.50877
639,1.5015628,1.0161532
368,1.4689276,2.4769049
326,1.4619293,2.9047165
557,1.4309843,1.3738325
866,1.3942853,0.57212484
865,1.3855807,2.1245885
841,1.3738478,2.1393962
209,1.373213,1.8123994
626,1.3478245,2.02633
213,1.3461976,2.463969
816,1.3377569,2.3695006
762,1.3305526,1.4869466
449,1.3010643,1.0720625
227,1.29531,2.2030115
294,1.2832534,1.3554109
1013,1.265479,1.6080874
431,1.2482309,1.8208263
803,1.2469444,1.1280177
546,1.2444073,1.9742315
143,1.2028273,2.3885937
46,1.2023394,1.901514
243,1.1960123,2.1127357
940,1.1951866,2.067565
110,1.1916589,1.8576163
870,1.1775122,1.4264245
436,1.1772741,1.8458569
990,1.1760347,2.6828265
798,1.1722877,1.8382347
287,1.1705041,1.5346105
834,1.1648021,2.093052
335,1.1620153,2.7419982
80,1.1537102,2.5848289
283,1.1529751,1.813166
772,1.152418,2.5970175
397,1.1262267,1.2941685
901,1.1225376,1.7387577
751,1.1126273,1.869395
407,1.1078708,1.8848898
734,1.1047573,1.7329261
297,1.1034435,1.3279285
387,1.0835605,0.8660066
729,1.0728693,1.1985896
582,1.055182,1.1423869
152,1.0509555,0.92707056
620,1.0480938,1.7859163
512,1.0458546,1.0735259
272,1.0404067,0.9957906
211,1.0402589,1.8508632
555,1.0330046,0.665354
991,1.0200776,1.9568388
77,1.0115505,0.74428207
593,1.004189,1.6597652
61,0.99632156,1.1359591
872,0.9894821,1.6456308
554,0.987257,0.8781514
649,0.98649544,0.86850166
468,0.97653365,1.3556647
827,0.97393924,1.2920746
140,0.9619769,1.2082144
978,0.95758116,1.3541749
520,0.95621985,1.3393681
183,0.9436518,1.283165
33,0.936106,0.6578636
697,0.92857176,1.012374
18,0.92218804,0.46100262
852,0.9188042,0.9423664
494,0.9128966,1.0086384
758,0.9105132,1.6660447
204,0.90866077,1.0191233
757,0.90238905,1.4334108
378,0.8990135,1.4722112
743,0.8986404,4.339451
162,0.89792943,0.8841985
100,0.89696014,0.9941529
719,0.8931776,1.8750558
161,0.8823861,2.5180988
1020,0.8803532,1.2156007
779,0.8784573,0.4357571
1007,0.8781769,1.844447
861,0.8752222,0.81543887
245,0.87444806,0.24262846
379,0.8716818,0.96939063
167,0.8697123,1.4415736
923,0.86235195,1.0817844
65,0.857432,1.0173632
539,0.8565645,1.45801
572,0.85459185,0.4601506
1004,0.84763485,1.7096034
631,0.84590364,0.81528026
881,0.8434779,1.1215832
5,0.831877,0.9083892
252,0.82653403,1.5473171
102,0.8249239,1.4861193
607,0.81924987,0.7240979
740,0.8166912,1.6030687
23,0.8158823,2.3320441
374,0.81545097,0.6673262
330,0.8118937,1.2831686
474,0.81137407,0.4816652
892,0.80607945,0.67886835
467,0.7963959,0.34372184
471,0.7958792,1.3178139
193,0.7950989,1.2064035
440,0.7925509,0.37086374
694,0.7923086,0.82159615
119,0.7886776,1.0939469
903,0.78603625,1.2973449
481,0.77917117,1.0538653
708,0.77051306,0.9384172
742,0.76941675,1.8597057
398,0.76935935,0.6621326
1009,0.761935,1.0231793
1,0.7610173,1.2265923
1010,0.7578561,0.64313
222,0.75637364,1.5465952
62,0.74904084,1.1738746
347,0.7471529,1.052187
273,0.7344004,0.6726699
85,0.73406076,1.6785263
56,0.72557044,1.0606605
971,0.7216461,1.1308836
127,0.71948826,0.97262245
422,0.71542835,0.22623782
754,0.7152399,0.966303
385,0.71202695,0.9545182
505,0.711903,0.5726956
507,0.71118236,0.72579336
231,0.70598567,0.9122261
968,0.7020323,0.8036897
248,0.69545156,1.287225
925,0.6942189,0.75103676
52,0.6860891,1.2434072
381,0.68252826,1.0427854
583,0.67575836,0.81643575
255,0.6693412,0.68993324
850,0.66569406,1.0338569
768,0.66352546,1.0520449
813,0.65248287,1.0320919
652,0.6522081,0.92107487
984,0.65021133,0.53316295
256,0.64455765,1.0503964
504,0.64240634,1.1565222
559,0.6395222,0.90506554
220,0.63697726,0.76013035
535,0.63655335,0.6373672
182,0.6349867,1.6461005
951,0.6283147,0.58439684
114,0.62821686,0.5929208
500,0.624884,0.5529723
367,0.62393063,1.2114047
506,0.6229728,1.1011409
640,0.6206654,1.0198392
829,0.61989945,1.2503784
465,0.6186427,0.4995201
228,0.6171329,0.6953852
929,0.61543715,0.58267
839,0.6141367,1.0204623
594,0.61402404,1.2805444
601,0.61170256,1.0168473
880,0.60840726,0.58714616
876,0.60456705,0.60551465
822,0.6002541,1.3387744
713,0.59991586,1.2742835
884,0.5960831,1.9240811
755,0.5956567,0.89968824
444,0.592742,0.8716812
478,0.59203523,0.880744
950,0.59050584,0.88276017
446,0.5893831,1.5802512
759,0.5860969,0.59289604
890,0.5844748,0.7521392
534,0.58434016,0.7739843
310,0.5828247,1.2429035
543,0.5759901,0.8123483
240,0.5726018,1.091322
921,0.572513,0.7625909
575,0.5717598,0.8325052
943,0.56957024,0.5147964
896,0.5669921,0.90549254
970,0.5669888,1.2110753
556,0.5646258,0.98857355
882,0.56191415,0.9243584
458,0.5617676,0.8677271
360,0.5588111,0.6731706
423,0.5556963,0.6911834
579,0.55391777,0.14937848
413,0.5532635,0.956089
778,0.55304134,0.85105944
275,0.5503211,0.87310624
87,0.5497829,1.0100174
53,0.54968876,0.6232869
352,0.54943216,0.9224722
22,0.54868966,0.8386507
448,0.5482701,0.5253486
869,0.54782796,0.78014946
664,0.54776615,1.0301182
739,0.5458955,0.40010196
187,0.54406947,0.6511022
156,0.5403662,0.48675695
453,0.53916967,0.41808945
369,0.53906167,0.994441
766,0.53880405,0.66319036
457,0.538585,0.39904097
532,0.53825283,1.1552953
19,0.53620833,1.3010198
499,0.53453076,1.085309
491,0.53244126,0.7982224
784,0.53213495,0.9468905
202,0.532083,0.9118042
898,0.5317123,1.0386739
688,0.5317037,0.53505343
756,0.53163403,0.72472614
359,0.531012,0.40397418
235,0.5307698,0.7020212
425,0.53052247,0.63147664
472,0.5237881,0.6063419
246,0.52078104,0.5524703
266,0.52068174,1.2441884
702,0.5189611,0.4923743
767,0.51499724,0.43901134
975,0.51302403,0.9428172
1016,0.51241875,0.6726241
596,0.5118691,0.6616467
343,0.5118432,1.761362
947,0.5102659,0.52901655
329,0.5073588,0.2812028
455,0.50680244,1.1912813
232,0.50622046,0.17268085
528,0.5054786,0.88164496
264,0.5048208,0.7279526
212,0.50414073,0.49905464
190,0.5020721,0.44188944
34,0.5016525,0.4396885
314,0.49928555,0.17622653
586,0.49778235,0.68820596
1000,0.49761713,0.5371359
728,0.4963269,0.55037296
790,0.49628037,1.0145067
678,0.4953871,0.85952556
549,0.4948118,0.48558435
51,0.49291873,0.2898631
930,0.49285454,1.1084869
195,0.48778033,2.5762782
724,0.48646367,0.6053542
60,0.4835366,0.7527187
606,0.48200557,0.7046916
533,0.4812831,0.5660128
600,0.47968096,1.1195378
466,0.47846115,0.5173552
563,0.47715887,0.3117573
194,0.47623762,0.5785671
92,0.47567725,0.7781776
553,0.4723931,0.9011194
3,0.47151408,0.76688826
263,0.4689281,0.23836479
540,0.46871385,0.6729795
199,0.46435636,0.5956372
953,0.4600101,1.589437
480,0.45987514,0.66953856
171,0.45623296,0.69732034
437,0.4528499,0.25833574
