Channel Index,Mean Activation,Variance
629,5.633342,2.7555087
518,3.4455316,6.600339
241,3.4403484,3.7461376
137,2.8513718,3.3213186
6,2.833916,0.39414728
1003,2.7540867,5.025708
196,2.5406985,3.213664
816,2.520866,3.5930233
406,2.4215074,2.95263
469,2.3714976,5.1895523
936,2.18397,2.6542902
284,2.1062894,4.3611093
297,2.0913303,1.3933876
557,2.0658016,1.7423075
46,2.0631127,2.8229017
821,2.0079854,0.6285721
672,2.0010157,2.4150994
865,1.9779502,2.651385
978,1.9620429,1.5836879
225,1.9094188,3.28164
626,1.900178,1.9346455
706,1.8445386,2.119256
982,1.7592279,1.976908
468,1.7571464,2.0334926
752,1.7569985,2.3229165
952,1.7434068,0.94736713
665,1.7329224,2.3702672
798,1.7306433,2.1362107
461,1.7226632,1.2095706
890,1.7123506,1.8359419
86,1.6938813,1.9799633
152,1.6769373,1.769984
776,1.671886,0.758811
639,1.6704428,0.73172826
5,1.649692,1.1621064
762,1.628121,2.065957
102,1.6172812,2.1579294
143,1.6066687,2.524026
252,1.6042769,1.8785772
85,1.5930624,3.7537386
785,1.5499494,2.5635958
221,1.5421735,1.1800978
436,1.5017205,2.4401007
231,1.4973184,1.335052
367,1.4873558,2.4512804
335,1.4782658,1.1261027
209,1.4731231,1.2007983
621,1.4628327,2.011392
697,1.4620905,1.0783007
541,1.46087,2.5081182
272,1.4509501,1.4117064
1,1.429863,2.3758593
213,1.4239811,2.722635
397,1.4158967,1.3310046
991,1.3914127,3.5533605
110,1.377888,1.7647953
1011,1.3717461,3.6259902
80,1.3668138,3.8774414
803,1.3661411,0.8444025
326,1.3588824,1.6683078
943,1.3548677,0.7826401
77,1.3035978,0.70221186
555,1.3033516,0.45946574
167,1.3014753,1.8746675
193,1.2968645,1.8989527
1009,1.2957468,1.7126772
870,1.2876346,1.4000363
1020,1.2846236,1.5005887
245,1.276139,0.35456446
582,1.2759194,1.7235334
841,1.2670101,2.3617907
287,1.2647803,1.7023714
901,1.2552496,1.6070033
474,1.253935,0.6799121
481,1.2513812,1.9739381
866,1.251244,0.46610323
543,1.2507948,1.626101
33,1.2478013,0.7802694
283,1.2347367,2.401226
968,1.22615,1.4998014
792,1.2019333,1.0311996
407,1.2018999,2.4339929
204,1.1911786,1.5983067
779,1.1871281,0.46975845
520,1.1850502,1.9258504
712,1.1777,1.1615547
65,1.1776867,1.7309958
506,1.1715229,1.9539425
162,1.1701837,0.94201636
546,1.168828,1.4614863
236,1.1605344,2.1057184
401,1.1573205,2.085916
455,1.1536629,2.396685
449,1.14369,0.8388785
554,1.1398685,0.9795276
1016,1.0957855,1.3682742
140,1.0901428,1.4116445
18,1.0858006,0.6425902
708,1.0857581,1.4880241
940,1.0718411,1.8036126
649,1.068659,0.35821968
686,1.0587947,0.84737265
227,1.0556728,1.3476034
387,1.0549421,0.8949291
467,1.0542048,0.21692102
971,1.0521048,1.8781899
664,1.0202408,1.518014
169,1.0180206,2.5487688
361,1.0054243,1.4829688
194,1.0032363,1.3799227
930,0.9976017,1.732507
512,0.9970057,1.5168247
362,0.9799267,1.2422956
882,0.9751759,2.3894918
852,0.946801,1.1166968
903,0.942601,1.5058815
884,0.94040215,2.8188128
342,0.93430406,1.7511797
839,0.932374,0.7444203
688,0.9224345,0.7286666
872,0.9124103,1.4521602
465,0.91134715,0.68883955
