Channel Index,Mean Activation,Variance
629,3.521319,3.989626
518,3.105418,7.9951544
1003,2.9617963,5.60411
6,2.7162762,0.5456284
284,2.581229,5.612297
821,2.1525207,0.75630915
743,2.1406655,8.629519
639,2.0821598,1.427442
225,2.067842,3.3436694
213,2.040471,3.2827182
952,1.9372826,1.1231577
241,1.932703,3.4382572
936,1.8480154,3.332367
665,1.8457923,2.7384524
557,1.8438517,2.0762854
469,1.7861769,3.351505
406,1.7828684,2.786335
221,1.7625802,1.3913162
143,1.7609394,3.696929
982,1.7456346,1.8116431
449,1.7030839,1.2173221
137,1.67784,2.9986978
708,1.6605244,2.8436384
991,1.5897189,3.4886484
183,1.5894966,1.6282554
61,1.5824615,1.7872667
672,1.5719376,2.0141058
48,1.5661986,1.4046404
762,1.531378,1.5954912
1013,1.5220753,2.780408
461,1.5148731,1.3462358
861,1.5034457,1.4010668
890,1.4892926,1.4951236
86,1.4867089,2.2825263
626,1.4763155,1.8062327
196,1.4736707,3.3390737
46,1.4609954,2.2498531
397,1.4598005,1.7215085
249,1.4430138,3.1538908
865,1.4422125,2.788932
706,1.4414542,1.938864
785,1.4393938,2.9952798
686,1.4195486,0.7095568
792,1.4146473,1.1241934
546,1.4093604,2.1712465
752,1.36919,2.0347633
152,1.3504212,1.5809816
407,1.3489825,2.257668
866,1.3402735,0.53245354
467,1.3317186,0.34388748
1011,1.3310387,3.1680815
776,1.3145807,0.9178844
729,1.2855124,1.2466488
559,1.259143,1.3559623
294,1.2454717,1.569154
33,1.2413902,0.7229607
779,1.2287722,0.6588098
664,1.217487,1.841613
18,1.2015548,0.84738415
347,1.1876158,1.1650901
971,1.185024,2.4432802
240,1.1656364,2.413001
481,1.1566567,1.4782517
297,1.1544507,1.4894855
102,1.1527112,1.7926997
512,1.1511273,1.936199
26,1.149355,2.0493276
80,1.1412044,2.2265608
140,1.1384063,1.3607143
649,1.1253557,0.62363064
471,1.1201541,1.4927049
620,1.1114805,2.3968763
555,1.107621,0.66473377
272,1.1059119,1.329316
77,1.0748973,0.70708525
534,1.0738167,1.253684
387,1.0545552,1.2147117
252,1.0485468,1.5148119
816,1.0205579,1.8451017
283,1.0199795,1.419765
374,1.014327,0.52566415
87,1.0107884,2.4395757
455,0.99380255,2.356265
56,0.97896993,1.5942228
791,0.9763565,2.2097468
245,0.97624385,0.20295997
379,0.9682425,1.2141718
436,0.9677034,1.7501681
827,0.96728545,1.1005399
367,0.9639628,1.9972817
1004,0.96247625,2.2717438
631,0.9439591,0.95339113
368,0.94326484,2.507749
933,0.93385565,0.9476229
85,0.92602456,1.9496497
697,0.92056626,1.1353914
543,0.915281,1.2479315
541,0.9152771,1.8384415
110,0.91262996,1.438535
506,0.90977067,2.0456986
870,0.90877056,1.1889286
431,0.90035796,1.2997375
401,0.9002308,1.6303103
834,0.89764625,1.9272221
5,0.89505285,1.0282823
758,0.89322925,1.3939368
896,0.89183086,1.4559965
435,0.8882468,2.161323
22,0.8779101,1.314316
335,0.8624301,1.2229494
594,0.85651106,1.6605623
94,0.85567605,1.3414471
582,0.8552811,0.71664155
491,0.8535214,1.0880059
1007,0.8514202,1.9298332
968,0.8510607,1.0605314
468,0.8506995,1.2381982
903,0.8439152,1.8455946
231,0.8389284,0.85183454
264,0.8233542,1.3077521
23,0.81952035,1.7565563
527,0.8191359,1.6658108
520,0.81876945,1.3563666
640,0.81738263,1.0281394
474,0.8164629,0.53871083
880,0.8139764,1.0767069
901,0.7974787,1.641594
772,0.7922978,2.3232198
220,0.7835618,0.96239203
539,0.7816819,1.6706219
978,0.7795626,1.1131625
500,0.7781185,0.7158071
601,0.7710314,1.151737
194,0.77071756,1.0831919
108,0.7690977,1.7495296
440,0.76887596,0.41218886
146,0.76301646,0.966118
1009,0.76054084,1.1252213
378,0.75660276,1.153245
841,0.7559421,1.2538531
778,0.751608,1.1369909
119,0.7501962,1.1728946
361,0.7481319,1.3806598
127,0.7454993,1.1797411
532,0.74489605,1.7781878
352,0.739573,1.1575425
209,0.73733974,0.8123641
943,0.73583686,0.4113829
359,0.73579514,0.5185158
494,0.7345929,0.8203492
222,0.7337512,1.6515582
211,0.733443,1.4058435
275,0.73140436,1.0185889
1,0.73084533,0.99557346
398,0.72888535,0.5093466
248,0.7281989,1.8133423
734,0.7250048,1.7930167
798,0.7247598,0.9077052
434,0.71555316,1.344846
204,0.70949847,1.1377175
465,0.7091802,0.8483253
235,0.703425,1.1442885
872,0.70272094,1.3182513
839,0.7007594,1.344838
391,0.6991542,0.53113675
884,0.69658077,1.2222171
437,0.69460726,0.4853987
869,0.6911117,1.052571
702,0.68926406,0.6139955
453,0.68644035,0.5834087
852,0.6856708,1.0242184
424,0.6840192,1.0763869
167,0.67954767,1.2307923
694,0.6757564,0.7075504
950,0.668363,1.104124
287,0.6682486,1.0450325
280,0.6669331,0.16691738
156,0.66496134,0.7328246
314,0.66263115,0.17538172
593,0.6616175,0.9898667
162,0.65898246,0.8138931
448,0.65742445,0.58475584
1020,0.65697825,0.9375257
583,0.65679944,0.9433559
263,0.6567056,0.2654668
554,0.65245503,0.71126294
713,0.6502116,1.6846192
881,0.6496044,1.0459206
385,0.64637554,0.66500986
876,0.64628804,0.77641135
751,0.6447666,0.76687455
480,0.64308983,1.2099993
171,0.64016306,1.0581548
528,0.6363557,1.1293814
360,0.635483,0.6417794
735,0.6342955,0.95930064
65,0.6290442,0.7942126
160,0.6268243,0.9320115
236,0.62333274,1.2320435
575,0.61961865,1.2368722
422,0.618327,0.28036222
114,0.61457413,0.5679761
905,0.6055118,2.1925151
990,0.6035633,1.2785852
232,0.6019033,0.22551152
602,0.5976009,1.3212795
339,0.5970588,1.1987201
227,0.5922638,1.0480914
836,0.5914806,0.66801405
403,0.59118235,0.8612194
1016,0.58822083,1.0714973
478,0.58701396,0.7308076
507,0.5781512,1.0078583
405,0.57085526,0.4523913
607,0.56871223,0.5993583
784,0.5679476,1.0624287
803,0.5673671,0.5520304
940,0.5672613,1.0483309
822,0.5671035,1.3561378
551,0.5656636,1.6281056
37,0.5618961,0.7080239
767,0.5561955,0.49426517
439,0.5553169,0.58301324
813,0.54701734,0.83295417
572,0.54544604,0.25536472
444,0.5452503,0.8897263
766,0.5446156,0.726447
621,0.5417338,0.98052365
29,0.5410915,2.0188425
246,0.5392321,0.46162128
100,0.5326104,0.7261511
134,0.52331096,1.0527022
9,0.5223129,0.71814644
244,0.5222718,0.80560756
637,0.52119184,0.45741284
669,0.5204481,0.40936124
777,0.5200445,0.6163378
135,0.5195279,0.56007147
725,0.5189095,0.1814286
44,0.51878667,0.33267745
182,0.5186144,1.7874691
326,0.5184027,0.7398106
256,0.5104368,0.8897625
722,0.50994456,0.4816013
425,0.5080711,0.62410766
442,0.5069616,0.6953786
838,0.50198483,0.7623985
199,0.49768245,1.0422032
