Channel Index,Mean Activation,Variance
629,4.670251,3.0196385
518,4.5804496,7.302986
137,3.3027778,3.9816575
241,2.8898,3.2608008
284,2.8001475,4.599095
1003,2.531946,4.7569723
6,2.4677277,0.44377416
469,2.4484417,4.8040333
936,2.4335124,3.06452
86,2.308766,3.570509
785,2.2086916,3.6638522
821,2.1593232,0.36098662
406,2.1248522,2.7567132
196,2.1228786,3.823864
397,2.1020956,1.9821081
225,2.05052,2.9601185
1011,1.9904733,4.4368677
982,1.9587736,1.802933
672,1.9191731,2.3333902
391,1.8854108,0.4849817
461,1.8752444,1.302485
213,1.8313377,2.950426
1004,1.8125389,3.8070364
85,1.8094665,5.0613866
407,1.7970849,2.661437
952,1.7951372,0.9102912
779,1.79479,0.52972746
626,1.6804048,1.8193183
143,1.6764908,3.1822493
792,1.5979364,1.4811296
752,1.5585266,1.937712
621,1.5555072,2.6904764
557,1.5479573,1.3258655
665,1.5468969,2.3234777
80,1.5274069,4.122875
236,1.5142822,3.5570216
991,1.506211,2.962803
152,1.4964545,1.4810624
865,1.495384,2.2695694
708,1.4940326,2.466163
639,1.4810532,0.95150787
706,1.4807628,2.0549784
762,1.4515128,1.3646631
816,1.4211574,2.3184023
231,1.4051888,1.2183192
546,1.3962909,1.8104073
297,1.3954949,1.2785909
512,1.3944001,1.6036668
221,1.3884169,1.4639552
449,1.3871073,1.038392
26,1.3645061,2.1594615
1,1.3483682,2.1976767
933,1.3348669,2.3614714
46,1.3052418,1.6631413
77,1.294685,0.7141285
481,1.2913427,1.3394387
436,1.2869802,1.957359
776,1.2868229,0.930233
209,1.2824401,1.0157142
890,1.2756721,1.3595246
803,1.2664429,1.1590238
686,1.2610201,0.6919135
798,1.2608693,1.637669
870,1.2579534,1.43465
61,1.256564,1.8161865
649,1.2421615,0.39756137
903,1.2376003,2.138352
595,1.2180499,3.5875993
347,1.1980891,1.1480428
743,1.1815464,4.9826765
283,1.1697897,1.7546362
504,1.1671574,1.8945212
326,1.1645324,1.4919713
841,1.1553425,1.7631916
102,1.141271,1.6693311
167,1.1164423,1.4744582
968,1.1144733,1.0514605
18,1.1081924,0.56016684
739,1.0661845,0.50284094
582,1.0657738,1.012272
694,1.0634394,0.9637286
861,1.0611224,0.75647795
248,1.0584185,2.25598
287,1.0578029,1.5452044
110,1.0497531,1.6165123
227,1.0428991,1.5056219
772,1.0372579,2.511179
294,1.0358193,1.2931235
33,1.0157814,0.51578224
245,1.0157695,0.2117223
368,1.0021799,1.983626
361,0.9991249,1.5858264
575,0.9989461,1.3143305
296,0.9945789,3.3800457
176,0.9876839,1.6823044
834,0.98300755,2.0069547
455,0.979911,2.577015
866,0.9763478,0.4602688
880,0.96553063,0.93607485
235,0.96543086,1.4445174
1009,0.964175,1.157159
468,0.9637648,1.4792602
543,0.9627438,1.2099344
593,0.9585726,1.2621328
387,0.9574041,0.82160246
827,0.95494807,1.0997787
697,0.95218205,0.8433004
541,0.95151025,1.6345778
1020,0.9453212,1.1990054
119,0.93937206,1.4022281
729,0.93912715,1.2189472
507,0.9387842,1.1339413
275,0.938138,1.7240348
435,0.9164354,1.8842187
791,0.89514154,2.0839553
757,0.88658327,1.2784693
379,0.8829819,0.9797485
474,0.8801803,0.5922967
901,0.8792577,1.1748695
990,0.8779098,1.7908486
183,0.8776833,0.8945492
422,0.86644065,0.36294985
140,0.8649578,0.9519552
52,0.8584068,1.3116229
572,0.85791445,0.30551225
272,0.8557905,0.8253728
978,0.8498052,1.3248239
579,0.8488196,0.32144946
555,0.8485686,0.4848644
554,0.84338135,0.84582436
56,0.84260213,1.2630321
971,0.8401887,1.5248816
620,0.838604,1.5118334
1007,0.8383546,1.6728649
367,0.83786213,1.2571459
243,0.8372606,1.7305516
263,0.82038164,0.40327296
401,0.81228185,1.5298169
204,0.8076701,0.9896682
5,0.8050455,0.6878051
852,0.7966658,1.0783031
1013,0.7922088,1.2024186
220,0.79114354,0.8923358
48,0.78855616,0.578392
162,0.7848356,0.8803508
374,0.7833887,0.4733358
534,0.78231573,1.0144004
465,0.7797018,0.5898521
431,0.77761877,1.2588309
583,0.77130187,0.9051689
828,0.7707854,0.89956367
274,0.7695664,0.71077895
520,0.76800823,1.2814944
884,0.76711035,2.0317194
494,0.7645093,0.8677765
65,0.76218784,0.9378691
759,0.75381625,0.6828633
600,0.75013256,1.9375331
559,0.7490293,0.88023734
951,0.74243414,0.6379038
280,0.7399659,0.17651221
896,0.738283,1.3190684
778,0.7363874,1.1372664
378,0.73448205,0.8687402
930,0.73112535,1.5281727
491,0.7193445,0.9962095
440,0.70603305,0.28436673
467,0.7003345,0.27489138
713,0.6974225,1.5596696
160,0.69588304,0.9962399
127,0.69552904,1.0443779
442,0.6830967,0.9205935
872,0.6780457,1.3316363
563,0.6751603,0.43820378
252,0.67276245,1.4369739
766,0.67034245,0.8082228
222,0.6698287,1.2632341
193,0.66950524,0.988973
943,0.667763,0.46014452
734,0.6677574,1.1270311
970,0.6661922,1.293495
486,0.66399574,0.8723154
314,0.6606052,0.18111232
601,0.654959,1.1314019
738,0.6541942,0.858165
881,0.6532469,0.8511924
405,0.65263844,0.4168216
448,0.6460511,0.53291607
249,0.64576805,0.722074
756,0.6457621,0.92436546
652,0.64566034,1.1023983
790,0.63966584,1.3930438
549,0.63883626,0.7307501
925,0.6367981,0.867957
702,0.635833,0.55828565
131,0.6334156,0.6563157
1022,0.63272166,0.5226565
876,0.6275425,0.59665847
457,0.62698996,0.49727038
205,0.6229516,1.116646
360,0.6208964,0.7965373
385,0.6148716,0.5783928
1016,0.61188525,0.8505853
539,0.6074207,1.2348082
446,0.6071618,1.401509
984,0.6004569,0.4821995
120,0.5898966,0.3487221
740,0.58454067,1.1477959
203,0.5838429,0.7215619
211,0.58306,1.1165979
246,0.5783224,0.59030414
506,0.57602936,0.924883
767,0.5730389,0.50205946
22,0.570989,0.77873915
156,0.5704688,0.5418829
232,0.5635416,0.22807056
336,0.5630046,1.2250705
149,0.5626826,0.56424
556,0.55917525,0.7847526
594,0.55768937,1.1923206
359,0.5566951,0.38315147
923,0.55623025,0.68006253
190,0.5549085,0.490568
51,0.54987836,0.31336603
725,0.5480339,0.18220371
320,0.5466662,0.6540301
471,0.5459918,0.7147192
178,0.54309726,0.9592728
264,0.54291224,0.7055624
568,0.5382663,0.42203754
839,0.537848,0.6799034
720,0.53500855,1.2752088
121,0.53240776,0.41842508
335,0.5317317,0.5639635
34,0.53119636,0.46804556
403,0.5285734,0.7314104
869,0.5282763,0.7202463
423,0.5253381,0.73879844
819,0.5185113,1.0628214
333,0.51692325,0.42028886
940,0.5154398,0.7720541
425,0.5111083,0.636912
114,0.5109233,0.3982481
472,0.5066116,0.6389878
444,0.5062656,0.7061152
751,0.5029113,0.8234591
240,0.50238335,0.9207568
505,0.5021941,0.4381914
62,0.49938506,0.61141115
651,0.49510884,0.34114546
329,0.4901428,0.38634884
527,0.48985866,1.1387136
784,0.486764,0.7797154
892,0.48666596,0.4612286
664,0.48450434,0.7180623
724,0.48296887,0.60591686
500,0.48088658,0.2947464
636,0.48044828,0.6340209
429,0.4787815,0.25680077
975,0.47642702,0.8230903
453,0.4752623,0.44457984
437,0.47413033,0.31512547
23,0.47270805,1.1003544
187,0.4718877,0.6964425
722,0.471362,0.2654397
480,0.4680624,0.8241921
92,0.4678439,0.6436533
631,0.46631563,0.51756525
613,0.46628967,0.3948449
161,0.4657291,1.2269278
478,0.46360928,0.60754055
475,0.4634343,0.5204232
364,0.4600752,0.73754525
100,0.45768678,0.4650417
371,0.4569788,0.30477077
30,0.45678404,1.0467552
370,0.44987363,0.939796
96,0.4429394,0.5217365
44,0.4414883,0.36230418
144,0.4397391,0.33008352
316,0.43731335,0.5087192
197,0.43619683,0.6254387
395,0.43605208,0.49233937
146,0.43411362,0.609045
712,0.43146637,0.47217274
434,0.4309819,0.51081574
20,0.425244,0.6601278
628,0.42396158,0.5443548
301,0.4183619,1.051254
479,0.4147882,0.44992885
929,0.4112986,0.45239404
637,0.4072058,0.34220058
742,0.40586966,0.8029206
882,0.40440893,1.2252079
754,0.40320402,0.50119525
533,0.3999912,0.6931691
484,0.39857584,0.5669745
19,0.398077,0.6924462
927,0.3980493,0.44563627
851,0.39739925,0.42957595
199,0.39626452,0.55679446
169,0.39425722,0.773882
656,0.39336252,0.39261806
998,0.39156017,0.7840431
735,0.39098006,0.5430393
806,0.39047924,0.6439929
218,0.38316765,0.48611766
348,0.383089,0.35133815
135,0.38038483,0.45652288
850,0.37765306,0.545062
921,0.37659588,0.42541665
126,0.37354937,0.52133614
1006,0.37215972,0.44480902
701,0.3720464,0.5795051
953,0.37025413,1.2263434
1023,0.36936265,0.26892334
352,0.36932138,0.51859516
404,0.36706775,0.61869836
163,0.36367136,0.5907935
815,0.36358523,0.49180162
362,0.36355218,0.1868764
499,0.3633902,0.6332072
157,0.36227256,0.44497198
985,0.36161774,0.6086543
63,0.35694838,0.8133385
758,0.35504183,0.3892183
302,0.3535862,0.39633724
185,0.35354093,0.5558671
202,0.35280722,0.75173354
813,0.35257164,0.51006466
194,0.34886563,0.41529974
439,0.34820536,0.2966729
276,0.34783274,0.42525482
304,0.34571025,0.43894017
535,0.34491873,0.29660812
931,0.34473488,0.4519631
647,0.34339866,0.74543226
650,0.3411447,0.44648042
678,0.34089616,0.52368593
47,0.33957395,0.32452634
900,0.33686197,0.27609462
376,0.336119,0.60676026
269,0.33594638,0.9652543
164,0.33540013,0.6888199
328,0.33479834,0.59415096
963,0.33446681,0.38821095
330,0.3306154,0.5096052
228,0.32862228,0.2790634
295,0.32823002,0.30972663
846,0.32776117,0.46680313
717,0.32650703,0.54229796
37,0.32567084,0.5930506
587,0.32470623,0.37742442
994,0.32411218,0.2043151
438,0.3223243,0.3628325
799,0.3222111,0.51951516
87,0.3220176,0.57829523
394,0.32197586,0.40603718
1018,0.32189012,0.23659007
695,0.32140937,0.5754629
1010,0.3178305,0.23603669
189,0.31780827,0.1878124
666,0.3176191,0.263407
