Channel Index,Mean Activation,Variance
518,4.2613344,9.443634
629,4.110958,3.1349077
936,2.3346193,4.1696873
1003,2.2735963,5.096609
241,2.245456,3.6767654
785,2.1884944,4.4533997
86,2.129229,3.9948924
6,1.9556531,0.9540794
48,1.9271183,2.0140505
225,1.9226716,3.0266335
821,1.918354,1.4755456
639,1.875991,1.1998751
792,1.8524722,1.786699
284,1.8348553,3.044023
952,1.8021681,1.0524135
861,1.8015052,1.4899594
221,1.7711656,1.9265006
287,1.7521446,3.1259606
368,1.7026117,3.2239003
686,1.6194189,0.879544
816,1.5960059,2.6415515
903,1.5843904,3.1054804
449,1.5754918,1.4144723
665,1.5454128,2.3361926
546,1.5419728,2.285844
734,1.5290248,4.2709208
80,1.5080118,3.7918553
982,1.4911604,1.8393012
752,1.4896817,2.0765877
461,1.4464198,1.3242697
406,1.4434052,1.8407551
407,1.4341083,2.5145762
933,1.4179857,1.814595
467,1.4052745,0.8496887
137,1.3582277,2.7842655
865,1.3569537,2.33376
819,1.3561767,3.0977254
469,1.3527126,3.554007
248,1.3512837,2.5583715
1004,1.344101,3.433933
557,1.3159035,1.5468812
621,1.3150613,2.3260007
672,1.3124697,2.029708
436,1.3030007,2.2649267
866,1.30188,0.59425086
431,1.2854018,2.024163
266,1.2796612,5.2256193
127,1.2781329,2.041812
890,1.268264,1.6376649
743,1.2644024,4.96496
834,1.2590426,2.4853373
26,1.2509892,2.5383956
294,1.2348907,1.7461184
397,1.2320182,1.4574106
772,1.222733,2.603725
520,1.222714,2.2724724
872,1.1927142,2.5371282
343,1.1918415,4.204654
841,1.183797,2.6677327
779,1.181505,0.8300805
791,1.1790178,3.6071436
990,1.174084,2.2222729
56,1.1703945,2.0265706
196,1.1603045,2.364821
387,1.1569551,1.1361191
213,1.1500506,2.1861567
626,1.1311841,1.3683056
246,1.1232167,1.3905032
706,1.1189855,1.813856
1013,1.1157379,1.8673794
46,1.1153126,1.5224303
762,1.105736,1.3644316
512,1.1022079,1.3561478
901,1.0974591,1.2170007
435,1.0938005,2.6917558
595,1.0905918,2.6608639
1011,1.0655462,2.406025
