Channel Index,Mean Activation,Variance
629,5.4328628,3.950125
137,3.231721,4.3622036
518,3.1867843,6.7032356
241,2.9459784,3.7104204
6,2.8040476,0.5387633
936,2.346567,3.640986
225,2.2794976,3.9421191
196,2.2537143,3.7612991
1003,2.1333842,3.9077969
406,2.1315145,3.147775
821,2.026998,0.9934504
752,2.025886,2.795672
816,2.0168438,2.9954143
665,1.968575,3.1914344
284,1.9594362,3.8943272
639,1.959034,1.3329154
557,1.9223952,1.6368673
672,1.9118204,2.1946511
252,1.8369076,2.2670846
621,1.8361315,3.4118514
461,1.8167334,1.3294535
901,1.8031013,2.3279793
982,1.7666005,2.2032976
1011,1.7610238,4.1109066
626,1.7559917,2.6665192
952,1.747721,1.2502894
48,1.7036475,1.4364243
46,1.6912777,2.4923887
249,1.6737273,2.7118506
86,1.6554842,2.1757874
686,1.6409203,0.978601
866,1.6185209,0.6042517
978,1.6016228,2.4169893
785,1.5995703,3.0233717
143,1.5978203,3.0458689
469,1.5961652,4.3376956
221,1.5926213,1.6821122
706,1.587242,1.993642
326,1.583125,2.148405
297,1.5665513,1.5803939
865,1.5218657,2.3425455
798,1.5130718,2.2633185
762,1.5030966,1.9421947
209,1.480516,1.6527691
933,1.4803965,1.9185462
294,1.4337075,1.8484528
546,1.4316883,1.9786115
287,1.4284744,2.3041615
991,1.4030964,3.3074074
494,1.3879853,1.5565112
110,1.3727224,2.158284
272,1.3645029,1.2339153
236,1.3629172,2.852457
436,1.3547796,2.32847
468,1.347324,2.083787
792,1.3463049,1.7181292
512,1.3301492,2.0209458
776,1.3084457,1.0885501
33,1.3042166,0.73286605
467,1.2955079,0.3958869
140,1.2804381,1.6883721
841,1.2751527,2.1471252
162,1.2672646,1.0990498
248,1.266494,3.3574955
582,1.2527083,1.4331446
77,1.2400846,0.8495908
85,1.2370254,2.5458064
397,1.2176712,1.4678276
387,1.215351,1.1305417
449,1.2105958,0.98590106
152,1.2076037,1.1512129
870,1.2064247,1.488792
407,1.1952484,2.4350076
167,1.1929942,2.064779
971,1.1909652,1.8905277
227,1.1888387,1.569344
283,1.1867323,1.8287078
884,1.1644987,4.1319904
87,1.1486936,2.5678883
213,1.1376703,2.3871267
778,1.1319072,1.8174431
1013,1.1316615,2.6401963
