Channel Index,Mean Activation,Variance
629,4.5255246,3.789109
518,4.4129405,7.7194796
816,3.4164743,4.3838897
1003,3.2972975,13.569195
137,3.0337596,3.8083427
48,2.9272578,2.6160686
241,2.6355631,3.8865564
6,2.5256777,0.8217864
546,2.3633022,2.546991
461,2.3543773,1.3980341
287,2.2390833,3.693932
221,2.2298532,1.93681
785,2.2001548,3.0818434
506,2.108793,3.6481714
752,2.1039333,2.8491743
556,2.0822968,3.456565
140,2.071504,2.5798583
213,2.041644,3.6516907
266,2.0280123,5.954413
540,2.0143309,3.4115605
284,1.988641,3.8856826
532,1.9803343,4.5876775
792,1.9798642,3.4548147
469,1.9756999,6.348702
406,1.9702908,2.8513386
936,1.9462597,3.05794
866,1.9234285,0.62125844
80,1.9157937,5.0992765
882,1.909853,5.225356
968,1.9035946,1.9015924
23,1.8473521,5.5964966
65,1.8227873,2.750003
182,1.8148466,4.8404665
225,1.8073808,3.339526
85,1.8036773,4.57623
649,1.8020151,1.6865404
512,1.7994444,2.1959934
273,1.790432,2.0335348
449,1.787774,1.1249955
407,1.773955,2.9902759
686,1.6876638,1.0729332
672,1.6764839,2.2773216
743,1.6618252,7.679822
923,1.5888541,1.5323219
607,1.5594516,1.7304871
739,1.5239079,1.5040143
467,1.5103257,0.89597327
903,1.5024197,2.34657
520,1.5008888,1.9881171
539,1.4886389,2.4781137
827,1.4797467,1.5183132
455,1.4722598,3.6862936
77,1.4686432,0.89560425
626,1.453565,2.073079
86,1.4427531,4.097256
665,1.4334775,2.227112
557,1.4317269,1.5458133
750,1.4144655,3.3863487
872,1.4143279,2.6905832
297,1.3988047,1.4647255
162,1.3959799,1.128556
982,1.3915403,1.7823695
822,1.3710037,2.0183744
593,1.3632865,2.2088346
952,1.3630657,0.8951263
621,1.3509955,2.9113343
249,1.3499433,2.7336302
494,1.3390505,1.4527315
196,1.3269672,2.3368728
898,1.3248305,2.032917
708,1.3136554,2.1916013
865,1.3122616,2.0296657
990,1.3094728,3.894956
734,1.2918773,2.656028
975,1.2854631,2.4535854
798,1.2783072,1.591441
582,1.2687213,1.0555633
3,1.2532606,1.9780381
541,1.2401505,2.3494549
1016,1.2354891,1.7782869
367,1.2207662,2.4159212
478,1.2206409,1.9349487
22,1.2131966,2.362232
475,1.212248,1.89789
428,1.2086661,2.68173
269,1.2072916,2.6461413
436,1.2027162,2.1146703
143,1.1997812,2.9272451
933,1.1983069,1.5240877
697,1.1929748,1.4224747
901,1.1903203,1.211385
19,1.1819087,2.452883
46,1.1817069,2.0323904
397,1.1804181,1.4141126
772,1.1687,2.1450386
639,1.1681316,1.333091
248,1.1609747,2.2441275
220,1.1566608,1.4376081
1007,1.1519666,2.8628318
385,1.1465306,1.2303951
754,1.1318325,1.3668501
870,1.1231207,1.4739082
481,1.1018937,2.4055433
767,1.101223,0.95720136
755,1.0983621,1.5207074
435,1.0767841,2.2101002
387,1.0634854,1.1272159
209,1.0613006,1.0412207
1,1.0494535,1.528503
101,1.0473642,0.9053736
152,1.0412724,1.3362746
326,1.0404177,1.608236
948,1.030046,2.0128887
543,1.0162606,1.4526254
