Channel Index,Mean Activation,Variance
629,5.0829782,2.3926475
518,3.1771142,7.244277
6,2.8853748,0.34168914
241,2.8814864,3.0681899
1003,2.733497,3.523074
137,2.5996423,2.6948037
196,2.4370706,2.75014
46,2.4242527,3.4199476
816,2.20013,3.9602745
936,2.1254995,1.9995167
225,2.0455222,2.5430973
469,1.9699717,3.8484015
284,1.9608132,2.65247
406,1.9522878,2.1739712
672,1.9366074,2.3552701
297,1.928758,1.286474
865,1.918032,3.0008159
821,1.8866916,0.53559893
792,1.8780394,1.1310067
952,1.8531866,1.0586889
982,1.834453,1.9628887
665,1.7930222,2.1716132
978,1.7761369,1.5137528
776,1.7752365,0.6676438
436,1.7730035,2.2262259
86,1.7194402,1.9790326
890,1.6891818,1.3165286
706,1.6873224,1.4133039
102,1.6798564,1.8575928
252,1.6700332,1.7927909
639,1.6538436,0.7532022
557,1.6285058,1.942069
461,1.6166646,0.97614574
762,1.611614,1.8826265
143,1.5979202,3.0509787
752,1.5897417,2.1057677
221,1.5516918,1.2039703
626,1.5238092,1.7749
152,1.4559528,1.2972995
77,1.4080342,0.76979244
287,1.395993,1.9021957
798,1.3737359,1.4705489
33,1.3726654,0.72903585
841,1.3709669,2.6835377
940,1.3574312,2.0368323
991,1.3454783,2.5745764
468,1.3451821,1.3206732
397,1.33929,1.5098358
245,1.3351095,0.39926296
272,1.3346782,1.1328282
407,1.3311665,2.4203434
335,1.3277345,1.1581374
213,1.325595,2.2754521
1009,1.3112029,1.3125927
209,1.3074132,0.92315114
378,1.2951486,1.4065477
5,1.2919606,1.045391
554,1.2904291,0.9956551
866,1.2759696,0.42393136
1020,1.2729443,1.3765079
401,1.271608,1.586238
541,1.2575574,2.1089094
194,1.2564621,1.4953542
870,1.2555016,1.2541604
367,1.2508903,1.9073871
872,1.2366682,2.6708963
474,1.2336811,0.69422513
785,1.2320945,2.328885
110,1.2315732,1.6389947
167,1.2275722,1.5221908
555,1.2226915,0.5299158
943,1.2212675,0.5244318
467,1.2171906,0.1962493
649,1.2123469,0.253502
664,1.2100589,1.8055596
1011,1.2007321,3.2203941
779,1.1950319,0.5824477
546,1.1794035,1.9298381
449,1.1657157,0.77165896
193,1.1617632,1.5016165
326,1.1562492,1.1439967
778,1.1178811,1.4345597
347,1.096216,1.2863622
621,1.0877665,1.5522764
140,1.087147,1.3326724
803,1.0848739,0.9735135
240,1.0809441,2.0011854
543,1.0611205,1.4254858
686,1.0602758,0.53681755
48,1.0576413,0.677866
697,1.053676,0.82262224
283,1.0532928,1.9655225
1016,1.050637,1.5237894
852,1.0482991,1.0615294
968,1.0436755,1.049211
231,1.0408113,0.69881296
61,1.0300974,1.2984384
729,1.0076419,0.8401669
559,1.003267,1.0423487
582,1.003052,0.8193402
708,0.9960618,1.4890678
204,0.9891777,1.0567582
227,0.98883325,1.131854
56,0.9816752,1.5081791
387,0.9799597,0.94678384
18,0.96855676,0.63184726
162,0.9667837,0.8742639
236,0.96437687,1.849519
512,0.93830776,1.7767224
381,0.9296006,1.3843067
583,0.9274309,1.2172716
85,0.9099852,2.1056542
