Channel Index,Mean Activation,Variance
629,5.222519,3.0440917
241,3.4187477,3.91778
137,3.0662613,3.770611
6,2.9297884,0.47336042
48,2.2839737,1.9981225
196,2.1664708,3.3753977
626,2.1383455,2.5525403
518,2.1267116,4.3139043
672,2.0953803,2.4897153
143,1.9975721,3.728353
1011,1.943573,4.515154
936,1.8906252,2.2182088
461,1.8773406,1.2233739
952,1.8731916,1.1200973
397,1.842252,2.051397
557,1.8286114,1.8768997
665,1.8067966,2.8305728
46,1.7645466,2.782321
841,1.7509024,3.5116086
297,1.7303395,1.3361001
821,1.7133632,1.0949244
982,1.7119861,1.7426442
284,1.7088377,2.5111096
221,1.7047095,1.8107189
110,1.700228,2.5797586
792,1.6627692,1.10646
249,1.647519,2.5618186
86,1.6336708,2.2348406
225,1.6103446,2.8504076
406,1.598941,2.431977
252,1.5954108,2.134388
752,1.5576415,2.121093
866,1.5168145,0.5771945
326,1.482475,1.8625016
1003,1.4809498,1.8613261
639,1.4633543,0.8378587
816,1.4464222,3.3080544
240,1.435539,2.4880643
236,1.4218497,2.927325
209,1.4017317,1.1856163
884,1.3883514,4.7110424
347,1.3875449,1.818855
940,1.3682874,2.2921617
865,1.3639063,2.2463145
978,1.3547564,1.9637016
467,1.3535955,0.38309336
33,1.3268043,0.7117647
378,1.3259673,1.675088
1013,1.3254657,2.6855783
407,1.3246167,3.5981152
102,1.3221741,1.581845
469,1.3063297,2.7010722
870,1.3046331,1.5244299
762,1.2973936,1.2975986
436,1.289904,1.7058313
194,1.278537,1.636841
686,1.2717679,0.7255999
706,1.2351383,1.9847655
621,1.2307901,1.9470899
901,1.2133789,1.5195668
62,1.1959605,1.2137346
213,1.1869469,2.0062165
272,1.1737578,1.117945
162,1.1711545,1.16712
697,1.1576275,0.79704916
971,1.1563611,1.6343355
751,1.1560683,2.0477016
546,1.1547985,1.9297593
582,1.1413002,1.0945022
468,1.1400206,1.5769558
77,1.1399578,0.883329
23,1.1328008,2.80092
968,1.132517,0.97595495
943,1.1298053,0.51124966
287,1.1230931,1.9433783
273,1.1044874,1.2705421
167,1.0960917,1.9170922
664,1.0924101,1.7377471
1020,1.0883332,1.3188589
729,1.0787185,0.8395649
245,1.0756941,0.40686005
140,1.0637258,1.1585684
1009,1.0604186,1.1536545
440,1.0453222,0.5559754
776,1.0448332,0.7645833
583,1.0408268,1.1673782
235,1.0383048,1.4642563
512,1.0315509,1.4676423
374,1.0160279,0.6606682
211,1.0160215,2.119162
708,1.0148079,1.3796935
294,1.0119216,1.0297028
