Channel Index,Mean Activation,Variance
629,5.1802664,3.0349193
241,3.357121,3.5913577
518,3.1956003,5.336292
137,2.9860308,3.6656024
6,2.5054266,0.50793785
196,2.379105,3.4966977
821,2.3531399,0.60996884
86,2.335871,3.1830258
936,2.2000365,2.575562
626,2.1561282,2.4951882
1011,2.1250865,4.5699096
1003,2.0492263,3.0890477
284,1.979855,3.4454572
225,1.9588325,2.9498324
982,1.926572,1.8615774
841,1.8933817,2.7070537
252,1.8344707,3.5001163
469,1.810002,3.7548625
792,1.7877282,1.6792021
952,1.769718,1.070154
461,1.7577245,1.2092112
672,1.7174013,1.9287264
46,1.7116373,3.1038477
221,1.6810926,1.5435398
297,1.6750834,1.4381925
143,1.6519119,3.1438828
865,1.6323376,2.5973976
639,1.6314341,0.9809957
397,1.6176499,1.4087483
557,1.61573,1.8516189
406,1.6097333,2.5379124
665,1.5886501,2.1395037
213,1.5868351,2.566199
752,1.5298437,1.987336
762,1.5152825,1.589243
287,1.4877831,2.1985877
110,1.4344118,2.156356
991,1.412611,3.0564294
776,1.3996459,0.9912475
785,1.3990122,2.2173076
870,1.3889601,1.4289017
866,1.384776,0.49052382
102,1.3760607,1.8246872
901,1.361405,2.29658
347,1.3451526,1.750576
621,1.3410113,2.1237578
33,1.3230498,0.80211073
436,1.3212277,2.001653
209,1.3010576,0.9110971
326,1.295294,1.564097
48,1.278462,0.99633485
26,1.2714487,2.236883
583,1.2683017,1.3229328
236,1.267236,2.226173
582,1.2513342,1.3743216
816,1.2369679,2.5884056
368,1.2351825,2.004682
779,1.2344402,0.43493202
272,1.2278165,1.2484046
468,1.2130061,1.5368315
152,1.1966364,1.3378041
80,1.1845386,3.7042086
407,1.1711175,2.4069197
294,1.1647606,1.612665
1013,1.1626709,2.397698
1,1.1230129,1.8465861
449,1.1205752,0.8156553
933,1.1179291,1.5095938
167,1.1012295,1.4662058
546,1.0936372,1.6452982
77,1.0923582,0.83163196
474,1.0903231,0.88753927
649,1.0850326,0.42665124
61,1.0805068,1.8515602
379,1.0720861,1.1535696
940,1.06975,1.6344048
697,1.0665921,0.9247683
555,1.0640229,0.48567492
890,1.0607188,1.3889228
1009,1.0517185,1.14964
467,1.0375339,0.28395072
751,1.035457,1.7766646
729,1.0284865,0.8150204
968,1.0209794,1.0797867
367,1.0187324,1.3946264
803,1.0178941,0.81243145
245,1.0140613,0.24172111
686,1.0063657,0.6208563
884,0.9960537,2.396858
211,0.9951728,1.9710509
943,0.99397737,0.60646164
162,0.9915853,0.98930424
283,0.9868416,1.58747
140,0.9792514,1.0961406
512,0.97179824,1.6091464
798,0.97066575,1.4183642
1020,0.9585844,1.0529413
378,0.9567543,1.1890085
861,0.9424429,0.7188273
575,0.9315426,2.1566284
62,0.9312714,1.053711
227,0.92379063,1.029112
1004,0.92375,2.0212593
834,0.9224302,2.0372453
56,0.92112577,1.4681063
706,0.9210066,1.2075331
249,0.91517264,1.1478493
240,0.914093,1.9519498
543,0.90671384,1.1507738
827,0.90443027,1.0225147
990,0.90079075,2.78795
119,0.89800876,1.2921702
457,0.89575917,0.6334289
335,0.8921451,1.2594866
183,0.88447946,0.8894844
387,0.87073284,0.7628516
1007,0.86903954,1.8782951
852,0.8614663,1.0630271
951,0.86003196,0.68102646
481,0.8582268,1.0631104
554,0.8558697,0.8267728
440,0.84083027,0.44131273
839,0.83904403,1.1412634
431,0.8371672,1.1021707
374,0.81114864,0.49203268
494,0.81004554,0.9118581
330,0.80699533,1.3893261
971,0.80580133,1.3295947
235,0.79989165,1.1852485
500,0.7988208,0.8433744
231,0.7983252,0.70665675
220,0.7979614,0.93222266
734,0.79196805,1.346738
296,0.78508157,1.676832
568,0.7807748,0.64095825
507,0.77848816,1.0086455
5,0.7757883,0.8415123
391,0.7720217,0.52072364
880,0.7708662,0.6414782
52,0.7707713,1.354431
520,0.77003753,1.1623923
930,0.7641317,1.5937291
18,0.76318103,0.57199085
872,0.75947034,1.2510711
194,0.7535287,0.9747368
740,0.75277084,1.5408787
65,0.7484401,1.0832443
978,0.7483367,1.0829198
222,0.7451819,1.4346163
652,0.7436266,1.1243216
925,0.739056,0.981054
739,0.73412764,0.44325215
702,0.7321324,0.66408104
708,0.7320921,0.95274097
471,0.72536725,1.0990922
541,0.71875435,1.5028175
593,0.71089554,1.1746057
572,0.7091265,0.3066339
694,0.7035741,0.73217213
264,0.70219326,1.000529
984,0.6929918,0.5000914
881,0.68980265,0.91227776
448,0.68889046,0.61332756
100,0.6884454,0.75586265
204,0.68818295,0.9374582
778,0.6853364,1.156397
559,0.6812187,0.81660545
664,0.680079,1.1230792
22,0.67706597,0.8825804
193,0.67665684,0.8297042
620,0.6754914,1.2351465
713,0.6719983,1.567529
970,0.6716279,1.5941778
504,0.67103475,0.80934435
444,0.6653921,0.82565707
551,0.66167736,2.1949728
243,0.66076154,1.2517302
491,0.65919274,0.87142515
466,0.6566405,0.81949943
712,0.65453136,0.82953554
403,0.6491951,0.8545545
401,0.6465236,1.023103
385,0.6447925,0.7470451
425,0.6423164,0.9106479
156,0.6411639,0.6251679
85,0.6396287,1.414929
187,0.632309,0.79674447
178,0.6224937,1.1052742
758,0.62019783,0.8539194
585,0.61505616,1.1400182
171,0.6150231,1.0111809
892,0.61324406,0.5370259
594,0.6098596,1.054912
735,0.60906017,0.9357769
381,0.60433036,0.88985914
446,0.60272443,1.4007623
395,0.5978831,0.72544485
607,0.59231997,0.5330094
398,0.5905827,0.5428208
794,0.5895232,0.80658585
360,0.5891848,0.5103432
131,0.5865473,0.7826944
458,0.5859909,1.0778753
903,0.58539546,1.4845064
9,0.584583,1.0475565
23,0.58413845,1.0058721
579,0.5840563,0.16418359
929,0.5839242,0.5494748
248,0.581675,1.1461409
486,0.5803251,0.5200164
280,0.5789307,0.131454
527,0.5758399,1.3789632
534,0.5739674,0.73421955
422,0.57182705,0.22593088
232,0.57135946,0.20324352
329,0.5696874,0.4325704
435,0.5695518,1.5256605
539,0.56865364,1.072458
465,0.5675716,0.77877015
506,0.56029624,1.0191047
640,0.5565644,0.73981565
442,0.5561641,0.83871824
1016,0.55252886,0.8338173
479,0.55248314,0.57266665
146,0.5522446,0.75762683
275,0.5515806,0.9022214
549,0.5510225,0.5193736
405,0.5498361,0.54171735
437,0.5484728,0.39121518
314,0.5475069,0.16124417
199,0.5474064,0.516675
695,0.5471948,0.8129818
772,0.54579836,1.1925417
51,0.53921443,0.37882492
738,0.53896266,0.9035104
766,0.5357007,0.63351583
87,0.5306691,0.69091654
601,0.5267402,0.8760509
127,0.52658826,0.8111084
876,0.52611864,0.55901426
767,0.5258608,0.5010064
631,0.52473915,0.5665455
478,0.5240748,0.83158493
114,0.5236583,0.46871117
851,0.5227795,0.54814976
535,0.520979,0.43777958
947,0.52018684,0.5255496
724,0.5155863,0.539555
121,0.513956,0.45626184
836,0.5134011,0.72277635
92,0.5122622,0.74186367
757,0.51207346,0.7032671
563,0.51154584,0.3519926
484,0.51129997,0.69101614
263,0.50864536,0.23199251
1022,0.5014451,0.77376604
29,0.5010441,1.385676
361,0.49958247,0.8250346
756,0.49839,0.6666912
307,0.4979345,0.45593977
650,0.4973801,0.5921474
320,0.49495396,0.55131286
169,0.49451992,1.0769589
791,0.49296066,1.0739218
423,0.4896664,0.574753
743,0.48882866,1.483774
754,0.48401827,0.7126335
455,0.48110786,0.9545833
923,0.47894976,0.7285947
246,0.47893482,0.43528005
434,0.47785062,0.771341
896,0.47573948,0.49465308
755,0.4751757,0.7600849
815,0.4746547,0.6976723
505,0.47308037,0.3492651
94,0.46795171,0.76311654
983,0.46782416,1.1908913
354,0.46728548,0.54804415
1010,0.4661853,0.39892688
359,0.46205145,0.31518534
37,0.4617327,0.81335
636,0.4609101,0.60634005
310,0.45850855,1.1031107
819,0.45659456,0.63243866
869,0.45484948,0.6030838
34,0.4548424,0.39215562
197,0.44901785,0.5968519
948,0.44586578,0.7035366
813,0.44526857,0.5759293
47,0.44518533,0.54032516
295,0.44116092,0.49355263
979,0.44112724,0.51570666
104,0.4409496,0.613584
218,0.4377675,0.4914713
921,0.4350677,0.44541687
688,0.43503857,0.47547776
348,0.43495232,0.4987881
499,0.43231216,0.6207472
244,0.43163162,0.5230121
189,0.42546722,0.32051066
759,0.4251762,0.4057055
508,0.42489862,0.6140607
164,0.42318794,1.0003773
176,0.4222519,0.5400178
472,0.42155084,0.4869211
207,0.4214234,0.63963383
998,0.42075625,0.9592194
950,0.41878638,0.58131397
302,0.41837087,0.47922203
371,0.41654974,0.24695551
564,0.4158878,0.84057605
753,0.41585138,0.17188229
722,0.41575792,0.29661268
600,0.41425186,0.67492723
144,0.413961,0.20574965
160,0.4127877,0.57258034
203,0.41152167,0.57856834
362,0.4091402,0.42003673
301,0.40883657,0.8981877
790,0.40793568,1.2487729
719,0.40724382,0.82119983
190,0.40703917,0.37838167
269,0.4067175,0.81364304
429,0.40507492,0.3442102
304,0.40252236,0.541035
202,0.401266,0.6139111
678,0.39753148,0.80039424
954,0.3967635,0.8221994
669,0.3965234,0.26445797
352,0.3960201,0.60672224
659,0.39544758,0.40266576
850,0.39515257,0.6533288
453,0.39509234,0.4163969
843,0.3943935,1.0182232
777,0.39397463,0.65624154
90,0.39154372,0.6573294
556,0.39086458,0.6325045
3,0.39071995,0.5810886
480,0.39061007,0.5606256
946,0.3895145,0.4044358
159,0.3876698,0.36089882
637,0.38744852,0.3458682
720,0.3867249,0.70770305
1014,0.38428798,0.4733527
651,0.3837127,0.23410626
717,0.37967438,0.668446
623,0.379177,0.6147688
108,0.37821308,0.737384
316,0.37614018,0.38274327
916,0.37566373,0.676896
394,0.37501022,0.42755935
134,0.37254715,0.598396
342,0.37139422,0.6858383
185,0.36672232,0.65279675
276,0.36671415,0.5876198
262,0.36670747,0.7662169
42,0.36668426,1.245622
576,0.36510354,0.55665344
528,0.36170334,0.63915545
200,0.3612861,0.32451567
32,0.35870647,0.24576764
228,0.35850924,0.4379272
985,0.35645294,0.6174353
595,0.35559052,0.65935796
882,0.35466808,0.53903246
562,0.35279083,0.16920039
24,0.3525451,0.19933783
666,0.3523221,0.35372257
613,0.3519833,0.26869473
953,0.35034728,0.9311315
410,0.34905368,0.25349313
60,0.34764022,0.5200692
656,0.34620565,0.36712766
384,0.34596732,0.5305508
675,0.34553385,0.37933755
577,0.34533152,0.38064092
855,0.34482747,0.19176085
828,0.3407208,0.28969386
667,0.33948117,0.62502444
898,0.33928484,0.5671512
741,0.33772776,0.56588715
370,0.33499622,0.5471049
725,0.3347504,0.09562106
829,0.33450767,0.5717723
622,0.3342963,0.53520817
999,0.33402905,0.4869749
553,0.332904,0.592483
831,0.32876635,0.36088437
963,0.3278596,0.34374076
522,0.32718042,0.37109548
871,0.326253,0.3031273
44,0.3260355,0.37846985
212,0.3258064,0.2638941
854,0.32520512,0.8581156
172,0.32514402,0.3925337
969,0.32394737,0.34456477
256,0.32340193,0.5568481
101,0.32007447,0.29608583
822,0.3197956,0.49544835
606,0.31664395,0.44873586
533,0.3152395,0.351204
545,0.31505662,0.307372
439,0.3143962,0.39986143
832,0.31332186,0.5025371
323,0.31270343,0.136734
438,0.3115959,0.3673443
63,0.31099686,0.5930696
175,0.31058106,0.52632034
544,0.31048247,0.1380641
846,0.3104714,0.48160166
475,0.3072413,0.29066372
784,0.3055385,0.5692673
703,0.30531764,0.35143274
961,0.30485585,0.41399875
180,0.3038517,0.38671395
997,0.30343032,0.3325639
493,0.30332896,0.46307632
205,0.30313525,0.3170292
560,0.30293402,0.16985433
894,0.3016093,0.27523807
293,0.3015935,0.49085695
115,0.30130357,0.31983083
84,0.2999328,0.21563601
1006,0.2989305,0.31751475
255,0.29786038,0.24501528
857,0.29780498,0.26000312
728,0.29694352,0.29205427
1005,0.29653358,0.3654905
609,0.2938165,0.3535118
514,0.29239354,0.18063489
339,0.29110554,0.63264686
96,0.29031911,0.38105774
66,0.29001752,0.351214
349,0.28917012,0.14863726
268,0.28779167,0.5388031
681,0.28728667,0.3378449
251,0.28707948,0.42480776
157,0.28556517,0.36808872
15,0.28472176,0.45166758
333,0.2836413,0.25417
286,0.2831212,0.8078899
266,0.2828661,0.49323696
586,0.28282985,0.31464198
58,0.28282815,0.314305
1000,0.2821622,0.28114524
604,0.28210083,0.31582144
960,0.28180036,0.30653414
219,0.2804265,0.48185134
30,0.278174,0.48855898
376,0.27643797,0.43508953
120,0.2745362,0.12662175
308,0.2736198,0.41226006
19,0.2723386,0.47792578
704,0.27190542,0.2941688
273,0.27053684,0.18953387
462,0.2700952,0.26831296
274,0.26968127,0.24387361
492,0.26817936,0.116348974
906,0.26795968,0.20509103
126,0.26755694,0.31980821
655,0.26613578,1.0256585
139,0.26612452,0.14787327
768,0.2654855,0.30597776
799,0.2652388,0.38383204
587,0.2646381,0.29452795
242,0.26452982,0.6377122
526,0.26386067,0.27211407
1023,0.2627692,0.17392547
653,0.26227447,0.42639548
149,0.26161465,0.24839124
877,0.25927106,0.22139351
957,0.25684676,0.4893252
118,0.25402054,0.3242805
596,0.2532554,0.3515668
680,0.25268573,0.36914498
483,0.25170708,0.36162362
550,0.25082865,0.36827987
670,0.250704,0.38930437
327,0.2484374,0.3597512
369,0.2481393,0.3924126
356,0.2473223,0.19492011
567,0.2459554,0.25153038
540,0.24484809,0.27794108
878,0.24433386,0.6217452
660,0.24367145,0.5661565
838,0.24103041,0.32559237
992,0.23970707,0.25725025
679,0.23920195,0.15089153
20,0.23822355,0.3515482
532,0.23706661,0.57248884
742,0.23532654,0.5259155
40,0.23396598,0.33540577
74,0.23306634,0.3927887
647,0.23245189,0.5530076
173,0.23224428,0.38241115
305,0.23027404,0.5355213
21,0.23021676,0.7276226
70,0.22970821,0.41426998
343,0.22968303,0.7176844
165,0.22964294,0.3564868
363,0.22934423,0.22740385
994,0.22837052,0.14609562
476,0.22756878,0.59199744
987,0.22739956,0.2956347
715,0.22569895,0.27892193
965,0.22546022,0.2413141
404,0.22437085,0.37116846
163,0.22170876,0.3033263
795,0.22017896,0.25433645
1001,0.2196083,0.18542184
918,0.21859607,0.22706404
628,0.21742795,0.25428477
198,0.21708344,0.21299712
612,0.21647182,0.21538104
182,0.21469893,0.27603123
451,0.21418259,0.3243441
975,0.21369301,0.3253133
161,0.21355924,0.4303483
375,0.21184687,0.30779403
154,0.21182397,0.21698073
536,0.2104483,0.42419678
50,0.20985508,0.19991122
641,0.20906009,0.077181354
584,0.20834878,0.30245978
336,0.20791963,0.3825898
521,0.20682168,0.12503694
573,0.20635286,0.277743
298,0.20324193,0.3122544
691,0.20005448,0.35197043
996,0.19951527,0.16898353
955,0.19929115,0.1994387
463,0.19881359,0.45845518
917,0.19864139,0.1760398
1018,0.19840671,0.15835834
905,0.19683237,0.38004062
732,0.19656095,0.16400126
133,0.1956044,0.29423067
364,0.19552587,0.20715217
230,0.19483423,0.22869872
351,0.19404781,0.27200437
900,0.19400334,0.10249566
931,0.19372007,0.22746441
452,0.1921333,0.21406624
915,0.19177616,0.22533643
578,0.19106434,0.12459322
502,0.19020192,0.2147838
39,0.18872659,0.30003247
721,0.18820092,0.15816548
441,0.18744971,0.14042515
747,0.18728359,0.18040177
456,0.18725292,0.09372691
53,0.18586181,0.21517423
603,0.1852464,0.30561903
155,0.18522859,0.14758646
687,0.18475434,0.2530741
638,0.18455756,0.22106682
973,0.18357165,0.34832883
700,0.1833322,0.12102374
1021,0.18304645,0.23079066
332,0.18244627,0.23833156
413,0.1817754,0.2356751
325,0.18167567,0.19174854
671,0.18166769,0.24990864
291,0.18020831,0.31317005
424,0.17972876,0.22050735
964,0.1795289,0.24082744
632,0.17929871,0.2338949
64,0.1790727,0.12313275
806,0.17897663,0.21603306
254,0.17850457,0.24467291
781,0.17817768,0.28029191
771,0.17807876,0.14741611
428,0.17731023,0.3282799
774,0.17603043,0.18014193
49,0.17504223,0.16590248
17,0.17490138,0.1234795
214,0.17437205,0.13469116
135,0.17361593,0.11894875
591,0.1727478,0.22633679
780,0.17245245,0.38701877
257,0.17188072,0.23712182
796,0.17184676,0.08166362
433,0.16999409,0.26324525
956,0.16984265,0.25560763
145,0.1683973,0.29874033
54,0.16770612,0.1429143
328,0.16702802,0.17558686
313,0.16679636,0.18769202
530,0.1666887,0.030845033
761,0.16563627,0.18748644
510,0.16553624,0.24780537
611,0.16499956,0.21458833
731,0.16453566,0.14727102
177,0.1606753,0.30120185
736,0.16009596,0.16105445
498,0.15936066,0.1043003
107,0.15738153,0.17359093
683,0.1572217,0.21527083
859,0.15684544,0.22826871
860,0.15139274,0.2178818
129,0.15109135,0.08844651
817,0.15068166,0.16774645
862,0.150213,0.3023602
421,0.14988205,0.17666109
270,0.14626278,0.23941997
627,0.1445484,0.25280675
705,0.14436899,0.22142448
981,0.14364687,0.31512636
174,0.14299776,0.20674527
501,0.14233129,0.085447535
111,0.14028062,0.067993045
542,0.14026031,0.26445553
775,0.13935778,0.24439695
8,0.13933869,0.13957661
711,0.13874333,0.1567546
908,0.13803323,0.23553291
261,0.13772045,0.16337617
420,0.13737072,0.41380876
496,0.13690609,0.13595527
684,0.1365504,0.19583969
538,0.1356239,0.21247627
485,0.13491938,0.1952863
353,0.13480452,0.09029953
707,0.13370503,0.13973291
454,0.13351345,0.11517678
552,0.13288222,0.15086494
250,0.13276419,0.15751998
811,0.12959762,0.18635014
105,0.1292275,0.2146244
830,0.1292057,0.099741116
693,0.1291479,0.28572804
914,0.12798396,0.0939052
801,0.12675454,0.22810946
67,0.12573417,0.16382912
373,0.12565535,0.22037335
986,0.124711044,0.25670555
909,0.124710254,0.095895156
853,0.12427551,0.075382434
661,0.12389815,0.061833687
234,0.12388603,0.12679397
210,0.123726174,0.13605782
247,0.123676814,0.12904014
614,0.12276106,0.21475802
993,0.12244623,0.0073316693
856,0.1209647,0.101952635
927,0.12077062,0.121912755
902,0.12007064,0.17269754
868,0.11917695,0.13804452
597,0.11850606,0.17126146
701,0.11841854,0.15557139
383,0.116725735,0.1293161
82,0.11646835,0.11002999
769,0.116043225,0.1610775
13,0.11574781,0.15195823
571,0.11568558,0.19467841
942,0.11537369,0.13585095
201,0.11519551,0.15252252
123,0.1148605,0.12219678
625,0.113483064,0.2641995
602,0.11211232,0.2652467
317,0.11092341,0.11697499
561,0.1101097,0.08054598
192,0.10933636,0.10830697
324,0.109313436,0.18350275
290,0.10882195,0.21598235
977,0.1081974,0.14894292
470,0.10769136,0.1170487
402,0.10744312,0.10648744
845,0.10674813,0.1394204
875,0.10581289,0.11797835
357,0.10577584,0.17050283
610,0.10559731,0.03640566
920,0.10449208,0.05637488
417,0.10410403,0.14882043
226,0.103143975,0.06350676
599,0.1031012,0.080294766
7,0.10299049,0.13353474
117,0.10209376,0.15402971
980,0.101874836,0.057395898
515,0.10111286,0.17984025
399,0.09984521,0.18214084
388,0.09980436,0.18197724
745,0.09884739,0.13432911
548,0.098730765,0.07644999
910,0.09817614,0.11822457
782,0.098162696,0.12607212
258,0.097729765,0.06639491
926,0.096419536,0.20966348
4,0.09612812,0.16356274
770,0.095923826,0.08680867
842,0.09542253,0.074877255
138,0.09471566,0.07178669
826,0.09393922,0.08705994
38,0.09337706,0.1505824
419,0.09221982,0.13016324
432,0.09209943,0.064188436
879,0.09160906,0.1388221
966,0.09133016,0.057633977
883,0.091215216,0.05348966
489,0.08989402,0.05649533
716,0.089296445,0.12589885
238,0.08887352,0.10384081
124,0.0886544,0.061562803
814,0.08811814,0.0903684
0,0.08783894,0.109015346
389,0.08775018,0.078494295
318,0.08671318,0.093819804
718,0.08638076,0.0974319
598,0.086293116,0.066909716
976,0.08591526,0.10536977
924,0.08566753,0.09362884
949,0.08407018,0.06456637
181,0.083160095,0.24721916
345,0.08312779,0.12712945
912,0.08216827,0.07907083
122,0.081678376,0.07014485
59,0.081377044,0.08878068
938,0.08080011,0.05415412
648,0.08057445,0.039339524
654,0.08049928,0.14261122
783,0.08039279,0.08405209
338,0.08026739,0.096517846
837,0.079981185,0.18206859
106,0.079972096,0.108565755
45,0.07986535,0.08537148
645,0.0797693,0.105863966
148,0.07759355,0.07878725
319,0.07704645,0.050170716
188,0.07675792,0.11385199
36,0.07660893,0.072141826
524,0.07634151,0.067596726
112,0.07611773,0.056810297
71,0.07606506,0.12835935
630,0.07594395,0.16082826
217,0.07532165,0.1109526
400,0.07475287,0.09912685
355,0.07444395,0.080135785
460,0.07384588,0.032374773
685,0.07333207,0.13138177
945,0.0728663,0.0785947
35,0.07261963,0.019233992
337,0.07260452,0.048362315
750,0.072400205,0.08162677
409,0.07202833,0.13900751
445,0.07178452,0.035290103
1017,0.070813216,0.026775734
673,0.07072898,0.090080105
125,0.070562564,0.11845809
28,0.07044781,0.064862385
558,0.069109805,0.069939695
97,0.0690809,0.07312834
408,0.06873768,0.041338947
393,0.06836771,0.09825994
633,0.068084374,0.018678097
922,0.068063475,0.04999143
891,0.06802873,0.06511947
260,0.067918584,0.093213834
824,0.06772714,0.071083136
341,0.067406185,0.04780472
416,0.06728853,0.08305188
14,0.06711507,0.071361996
116,0.06706078,0.09365668
765,0.06636045,0.06493466
233,0.066291876,0.12771295
849,0.065164976,0.024778204
216,0.06512324,0.09220368
800,0.06512277,0.0457789
239,0.06491512,0.03428081
497,0.06438375,0.041309256
519,0.06424704,0.081013374
787,0.063678555,0.09216881
132,0.0633917,0.045937862
699,0.06175387,0.04066769
698,0.061589982,0.07598887
958,0.061011285,0.10426968
932,0.060982626,0.03510738
805,0.058373272,0.05674514
25,0.05837283,0.05502746
919,0.058075555,0.09880916
547,0.058025148,0.08021845
16,0.0577671,0.10073421
962,0.055664416,0.044598665
874,0.055533886,0.057966392
709,0.055320222,0.06899641
99,0.0549632,0.040119495
692,0.054761477,0.044972073
746,0.054537553,0.054000147
939,0.05405703,0.044235747
723,0.05384728,0.07407386
714,0.053791907,0.11202312
885,0.05378762,0.0525878
277,0.053574286,0.08002169
11,0.052954506,0.009353225
390,0.05240125,0.11353312
430,0.052364897,0.09878351
788,0.05211675,0.09407614
43,0.051830444,0.013170772
81,0.05145531,0.043623235
224,0.05005167,0.0810763
142,0.0495458,0.044153444
616,0.049483653,0.07523353
913,0.04939312,0.037880123
807,0.0483416,0.06774264
380,0.048230886,0.049282186
682,0.047715534,0.03507762
98,0.047642376,0.0432969
889,0.047373246,0.04479415
934,0.04724159,0.034533713
959,0.047173742,0.06772919
726,0.047068056,0.036354028
412,0.046856523,0.04639687
464,0.04685119,0.0945176
170,0.046566367,0.024003414
372,0.046453733,0.04281937
83,0.046424836,0.042806003
184,0.046247635,0.06533726
426,0.04605595,0.068780996
1008,0.046046913,0.05434192
282,0.046026263,0.049363784
503,0.045834135,0.06565566
153,0.0457958,0.05704824
411,0.04509485,0.06400685
477,0.045061197,0.12521069
748,0.044977807,0.039452434
289,0.04494783,0.10152467
495,0.04474994,0.061642718
873,0.044362273,0.06203827
569,0.04435161,0.038671076
677,0.04411475,0.022398273
888,0.044012483,0.030978665
517,0.043305077,0.051119376
128,0.042149805,0.051145073
635,0.041890208,0.064553104
565,0.0416175,0.030954104
358,0.041534327,0.02409233
911,0.040581234,0.053014573
490,0.040424384,0.05586472
69,0.040385433,0.049137823
531,0.040252574,0.0736969
848,0.04018876,0.043715794
206,0.040144008,0.05270465
237,0.04001842,0.04763951
935,0.039636154,0.038914807
789,0.039560355,0.06902741
574,0.039337166,0.06313766
825,0.03907976,0.05938649
509,0.03859082,0.060929406
808,0.038003717,0.061145127
68,0.037837256,0.028156608
473,0.03690164,0.034030106
537,0.036640316,0.013293278
895,0.03648127,0.035337348
396,0.036122404,0.04553914
904,0.035477992,0.027264612
812,0.035473544,0.040757544
773,0.03514611,0.050614025
760,0.03491112,0.05450337
928,0.03478757,0.04508881
443,0.03451075,0.027362784
322,0.034414385,0.04555049
804,0.034296267,0.024937809
605,0.03405709,0.0053663924
663,0.03396675,0.05607486
95,0.033613734,0.044273842
864,0.033427373,0.04341976
763,0.03264812,0.027760562
386,0.032356195,0.03816962
191,0.032099146,0.032840844
382,0.03201628,0.046180435
847,0.03183191,0.05555404
130,0.031032277,0.023620453
41,0.030270264,0.022057232
168,0.030269746,0.03545144
78,0.029877456,0.02625719
634,0.029810691,0.030074146
259,0.029658157,0.029459445
646,0.02914192,0.042357624
689,0.028268289,0.042946525
166,0.027907623,0.03760981
113,0.027848383,0.036094952
588,0.027844217,0.01749739
974,0.02770057,0.03733887
186,0.026986744,0.019847577
674,0.026859531,0.020236107
523,0.026730375,0.035529975
300,0.026691416,0.015312239
899,0.026532378,0.028572729
79,0.026347827,0.02171273
267,0.026275327,0.027797496
179,0.026063671,0.015544376
151,0.025752127,0.031171786
392,0.025721941,0.015533266
311,0.025544992,0.013928146
786,0.02496641,0.022601936
55,0.024906997,0.03278052
72,0.02479302,0.017037002
195,0.024634218,0.06179942
208,0.024514658,0.032865487
418,0.024233365,0.015567355
730,0.023583114,0.036171973
643,0.023288999,0.03813086
141,0.023074819,0.015723491
344,0.023015467,0.021861428
937,0.022875715,0.0072429283
271,0.022623975,0.021456374
617,0.022462187,0.023465568
331,0.021710737,0.016096266
285,0.021567682,0.017807301
690,0.021491667,0.015681509
488,0.02135714,0.017249778
907,0.02099345,0.02498369
516,0.020770354,0.037247777
858,0.020474037,0.009233638
253,0.019991755,0.03601218
668,0.019680303,0.02614387
427,0.019524978,0.017311048
415,0.019291768,0.02320812
972,0.019087598,0.019028202
10,0.018897759,0.022652877
309,0.018628532,0.015837613
482,0.017319223,0.02517055
288,0.01719518,0.015605236
823,0.016900428,0.012791342
941,0.01679108,0.0059770206
350,0.016503196,0.0313056
281,0.01645054,0.008640789
615,0.016221505,0.01434278
303,0.016105767,0.015185577
366,0.015809972,0.014865382
967,0.0154131185,0.021672133
989,0.015334091,0.023034068
733,0.01510157,0.025222292
