Channel Index,Mean Activation,Variance
629,4.642873,3.1502466
518,3.3210309,6.383764
137,3.2170722,4.024907
86,2.8314686,3.1427643
241,2.6792076,3.5632715
284,2.5750093,5.058341
26,2.5005593,2.7471638
6,2.4947634,0.4826429
936,2.3234415,2.6617107
1003,2.273982,2.5816402
792,2.2292109,2.0301948
672,2.2151942,2.1922715
821,2.149291,0.6833065
287,2.0859475,3.1393552
639,2.0405679,1.4709866
249,2.013146,2.7537665
933,2.0103967,2.8498266
1011,1.9518678,3.779532
225,1.947669,2.8587337
461,1.9279256,1.1752471
368,1.9212575,3.6581197
546,1.8664436,2.0405164
665,1.8608935,2.0145557
469,1.8489904,3.4143052
734,1.7819066,3.1419392
407,1.7532095,2.7522058
686,1.7403147,0.72923285
221,1.7357705,1.1593504
866,1.7137846,0.56895196
752,1.7085071,1.9500873
952,1.705344,0.8713761
990,1.6638641,3.7071223
776,1.6388168,1.2447253
982,1.6154889,1.5444268
762,1.6051766,1.6737667
865,1.5995008,2.2806046
213,1.5663652,2.6745508
406,1.551264,1.9750036
46,1.5386477,1.8357618
991,1.5280441,2.9845085
80,1.5205958,3.481203
729,1.4883484,1.206566
785,1.472929,2.2648654
582,1.4714115,1.5447569
626,1.4489365,1.8459852
397,1.4290652,1.4420993
183,1.4099641,1.7148516
841,1.4055452,2.0584552
706,1.3850403,2.0501494
1007,1.3561883,2.979695
283,1.3497317,1.6765671
779,1.3483814,0.5731261
827,1.3457056,1.2818574
77,1.301075,0.7286264
557,1.2865417,1.1363641
601,1.2705531,2.0380268
196,1.2452884,2.8044615
621,1.2145556,2.1839275
816,1.2140785,1.9740939
387,1.2095366,0.9627856
494,1.1936858,1.3966665
449,1.1892958,1.0600264
48,1.184352,1.2455121
468,1.1773491,1.7229257
335,1.1661835,1.6844666
507,1.1536882,1.1716907
870,1.1287787,1.196378
143,1.1250111,2.0168948
1004,1.1240036,2.3211112
294,1.0996611,1.1707017
694,1.0870761,0.9878129
772,1.0575058,2.2866406
798,1.055352,1.5917541
252,1.0463965,1.4090995
554,1.0394862,0.8581736
297,1.0394168,0.9966499
222,1.0155112,1.9935663
751,1.0121474,2.3815134
65,1.0029299,1.290922
861,1.0024422,0.71027815
231,0.9951643,1.1371891
852,0.9864458,0.9543156
243,0.9848625,1.7375817
248,0.97376525,1.5471773
236,0.9716449,1.9087965
512,0.97117174,0.9904376
61,0.9638533,0.9670709
431,0.9612942,1.200975
467,0.959139,0.28889394
436,0.9523659,1.606702
559,0.9497378,1.0222011
572,0.9397788,0.33513302
379,0.9390209,0.8993784
5,0.9299383,1.0742726
152,0.92970276,0.75532913
555,0.9291054,0.47743744
209,0.9270984,1.0263684
102,0.9233452,1.3585784
968,0.92257273,0.8290646
336,0.9200217,1.9294573
884,0.91568863,1.986182
33,0.9043397,0.61202663
896,0.9009924,1.0473194
187,0.90091515,1.1810849
326,0.9008413,1.4436231
110,0.8954837,1.6505356
296,0.8951184,1.7827706
631,0.8820864,0.72149396
971,0.8728489,1.304274
923,0.86645925,1.1107
803,0.8611823,0.6321908
422,0.85725635,0.2891177
119,0.85571146,1.2473501
925,0.847318,0.884711
245,0.83978015,0.21033806
472,0.8376027,1.2430966
652,0.8364409,1.3868561
140,0.83523756,0.86871845
892,0.8247009,0.77591693
347,0.8204943,0.7677697
880,0.8174416,0.77192664
385,0.81197745,1.0235066
266,0.8067078,1.8075485
491,0.805587,1.01489
978,0.8027636,1.2468939
360,0.79609966,0.9204081
702,0.79310226,0.640959
984,0.77419686,0.5704224
471,0.76590276,1.2599828
757,0.7621339,1.0818795
227,0.7619945,1.0482196
649,0.7617198,0.38634965
708,0.7574304,1.0192487
378,0.7481725,1.1201141
404,0.7480073,1.3136542
100,0.73588336,0.7209263
1013,0.73384345,1.3778683
272,0.7333994,0.86329234
790,0.7237251,1.7748557
901,0.7222296,0.8252094
822,0.72208285,1.2279334
481,0.7193083,0.7671416
329,0.7160511,0.48528633
520,0.715438,1.1294438
593,0.71334225,0.8595046
211,0.7101511,1.2001239
220,0.7017347,0.82884693
583,0.69744766,0.9153018
778,0.6960765,1.2257072
56,0.68885946,1.110558
235,0.6868725,1.0655156
275,0.68168104,0.87514144
367,0.68106234,1.0732307
970,0.679469,1.5162575
903,0.6768212,1.152323
881,0.676579,0.9225471
162,0.6757511,0.70682573
176,0.67488396,0.78030837
556,0.67447567,1.0026557
1020,0.674056,0.9312072
951,0.67259157,0.53937095
23,0.67220306,1.5310555
607,0.66852784,0.5926011
167,0.66719544,1.1252906
575,0.66476166,0.8236725
85,0.66381115,1.214592
18,0.66173464,0.44090152
594,0.6615999,1.1748517
743,0.6613523,1.7655959
758,0.6600407,1.0770223
505,0.65560824,0.48949957
52,0.653007,0.8003558
1,0.65268666,1.2414241
740,0.644459,1.2870456
369,0.64366686,1.3343899
359,0.6418351,0.40465263
444,0.6410514,1.0696342
330,0.63501394,0.95093834
440,0.63044834,0.35154697
720,0.62950265,1.1986277
217,0.62707317,2.1926095
768,0.62693715,1.0676084
900,0.6230481,0.69113183
204,0.61990976,0.70504117
739,0.61644125,0.35135776
1010,0.61509085,0.37170613
228,0.61442804,0.86964405
620,0.6128005,1.1039125
1009,0.61096287,0.8246702
391,0.6053624,0.42770314
890,0.60041076,0.80364734
948,0.5983199,0.72289413
474,0.5966207,0.3839658
394,0.5960072,0.57580495
869,0.593785,0.59023845
549,0.59365666,0.5681325
595,0.59257996,1.1840811
697,0.5855838,0.67301065
274,0.5835868,0.55473834
543,0.58319515,0.7655289
504,0.58158696,0.9432116
435,0.5805075,1.2594621
343,0.5780441,1.1655238
120,0.57370365,0.27436465
314,0.5647912,0.15816444
62,0.5646321,0.85930204
374,0.5626944,0.3780836
940,0.560011,1.0907974
60,0.5585775,0.7049223
480,0.5576318,1.0371268
34,0.55444473,0.5181978
741,0.55155015,1.1959164
834,0.54967564,1.0514425
455,0.5494219,1.3146253
872,0.54922754,0.92360497
310,0.5478131,1.149025
398,0.53856844,0.53091216
63,0.5382638,1.064255
458,0.5343457,0.77215517
135,0.53351414,0.53700334
92,0.5278655,0.8227789
465,0.5273874,0.4449802
3,0.52536607,0.88577884
381,0.51779366,0.6579166
767,0.51618433,0.4737453
175,0.5140758,0.66618335
352,0.5133497,0.7642125
263,0.5129849,0.22683904
232,0.5121242,0.12935472
127,0.5115869,0.7812583
22,0.50624835,0.5704303
131,0.5022397,0.5318464
985,0.5011349,0.78699136
425,0.50084746,0.5702765
688,0.49716341,0.44135886
457,0.49552798,0.40358776
994,0.4943384,0.26291615
534,0.49376267,0.6401142
361,0.49219558,0.89267147
579,0.49167788,0.113885865
742,0.48671257,1.1313214
280,0.48535866,0.15099472
401,0.48511347,0.96330684
87,0.47682458,0.6124534
819,0.4758293,0.7385746
876,0.47475272,0.37421194
448,0.4744562,0.42981005
535,0.4739852,0.51169634
240,0.4699606,0.90986
264,0.46935165,0.59383976
930,0.46823603,0.92344475
695,0.46633974,0.7515712
478,0.4624683,0.6190832
316,0.46152025,0.6540006
255,0.45756787,0.38912693
199,0.4565999,0.44450283
486,0.45644563,0.396887
898,0.45592812,0.7626766
276,0.4547987,0.5487454
446,0.45321253,0.7323489
244,0.45013425,0.41386133
950,0.44948304,0.82310766
563,0.44877744,0.3333518
165,0.44699317,0.64328325
51,0.44514248,0.27287462
908,0.4379161,0.61303866
755,0.43768817,0.5805059
182,0.43522152,0.63821113
877,0.4349239,0.4588947
1022,0.43421558,0.4205302
114,0.43348914,0.36325842
846,0.4329781,0.68744326
713,0.4324842,0.90990967
926,0.43229,0.95212126
146,0.43158534,0.47924417
759,0.43051255,0.37997994
54,0.4304871,0.36054638
1014,0.4301998,0.60005313
439,0.42936838,0.62344027
943,0.42848495,0.3574866
506,0.4275496,0.694919
553,0.42632514,0.631782
568,0.4239549,0.4461435
437,0.4235499,0.21007913
19,0.42096907,0.7122515
541,0.42079437,0.74578184
791,0.41988134,0.98412454
500,0.41957402,0.32383627
403,0.41891,0.5610324
929,0.41714007,0.38329798
754,0.416702,0.5062207
453,0.4142452,0.30887622
1006,0.41417485,0.55504346
539,0.41311112,0.6739864
540,0.41249627,0.57632077
194,0.40980136,0.47634375
144,0.40564802,0.20953205
423,0.40292242,0.5725274
384,0.40211183,0.56658924
766,0.4006737,0.4894055
664,0.3952318,0.64517
484,0.39232725,0.63864446
850,0.39106408,0.739547
212,0.39008522,0.36532283
226,0.39008433,0.40586925
725,0.38494956,0.11715433
295,0.3830371,0.37310725
521,0.3810241,0.25945988
953,0.38062102,1.0134454
640,0.37663335,0.4976787
395,0.3740894,0.3829732
538,0.37402436,0.70625424
