Channel Index,Mean Activation,Variance
629,4.3854704,3.020074
518,4.2813272,11.504183
1003,3.0757656,8.930377
48,2.7033725,2.0950136
816,2.6724174,6.690414
241,2.6130385,3.613302
936,2.5463147,5.729558
785,2.363651,4.379809
469,2.3619702,6.7934275
821,2.3442056,1.9109608
287,2.312393,5.3998084
752,2.2895489,3.0444167
6,2.0850482,1.2917143
903,1.9661825,3.521876
990,1.9584322,6.904859
406,1.8801906,2.7570736
137,1.8169998,2.7844875
743,1.7985611,8.136023
672,1.7935679,2.7710147
221,1.7692246,1.9941779
686,1.7614942,0.96608734
86,1.7193155,3.616968
284,1.716708,3.3129506
461,1.7019994,1.3260679
546,1.7015121,1.9761678
65,1.697441,2.7579727
225,1.6484013,3.4135168
861,1.6284484,1.6126888
865,1.6073682,3.3381925
294,1.5993716,2.557561
449,1.5835965,1.5136337
397,1.5606174,2.1191072
236,1.5571539,4.959612
80,1.5565314,4.0781965
762,1.5526772,2.718761
85,1.5044595,4.279868
706,1.5025771,2.7286792
435,1.4977387,3.6170619
952,1.4961755,1.2824092
734,1.4906771,4.3984
933,1.4835459,1.974361
792,1.4778979,2.0977998
512,1.4668468,1.9138192
708,1.461831,2.7684555
506,1.452888,3.341526
798,1.4247115,2.0972176
176,1.3727784,3.9890313
407,1.3699929,2.2818031
367,1.3641558,2.7543406
248,1.3629948,2.9138637
626,1.3339279,1.5886748
639,1.3324425,1.0657058
595,1.3093208,3.9324312
557,1.3090892,1.5210593
213,1.3051503,3.0589933
593,1.3042716,2.078742
556,1.3031863,2.7652564
467,1.3019335,0.8902663
1007,1.2905498,2.68864
494,1.2689978,1.4428823
827,1.2623307,1.619729
982,1.248492,1.7954829
378,1.2301959,1.9311881
665,1.2176037,1.9498242
772,1.210917,2.4491088
249,1.2085063,2.5293987
266,1.2082276,4.7404213
791,1.2049401,3.7182045
621,1.2048526,2.139746
46,1.202554,1.9122763
1004,1.1933792,3.7199287
18,1.1916493,0.891871
436,1.1866384,2.165908
61,1.1798637,1.6404252
890,1.1711733,1.922591
649,1.1688191,0.85159063
140,1.164695,1.5661539
729,1.1516585,1.674449
631,1.1489334,1.2847962
77,1.1473497,0.8237664
182,1.1458867,2.4800801
520,1.1410801,2.1481643
758,1.1306188,2.2852454
152,1.126411,1.6243645
468,1.1011302,2.1648555
779,1.0827847,0.7390686
852,1.0793195,1.3813157
387,1.0697191,1.0509709
127,1.0643045,1.8421543
336,1.0592475,2.2696254
343,1.0576541,4.0154324
901,1.0487516,0.9758854
543,1.0422995,1.4446003
196,1.0401523,2.1036358
882,1.0376086,3.751216
143,1.0322661,2.6037354
925,1.0300913,1.5884162
1,1.0284009,1.837209
275,1.0164113,2.5049179
202,1.0115572,2.2883217
819,1.0001687,2.8749895
481,0.9953433,1.4921813
978,0.9903554,1.6127911
283,0.9664955,1.4498476
884,0.96553767,4.0700455
204,0.9629069,1.5350173
784,0.9613303,1.9379644
559,0.9520037,1.5252893
374,0.9507419,0.9802743
866,0.9459791,0.49109504
235,0.9407645,2.0052147
245,0.9349246,0.36186478
56,0.93411523,1.620071
652,0.93178594,1.5629612
767,0.9085779,0.9930393
834,0.9079483,1.7237713
828,0.9077334,1.1797758
110,0.90705454,1.5481263
841,0.89934564,1.9682105
297,0.8955575,1.1114104
870,0.89517653,1.0866072
532,0.8923,2.1442583
694,0.888633,1.0448519
269,0.88377005,2.0385447
607,0.8689144,1.1448691
504,0.8664575,1.5062287
738,0.8658398,1.4357561
107,0.8641604,1.5168735
776,0.86240506,0.9951975
975,0.8623445,1.8967657
272,0.8608187,0.8887443
1016,0.8580266,1.7808577
33,0.8538743,0.85278136
750,0.8515371,3.1162806
3,0.8488391,1.2532829
991,0.83813924,2.2778337
274,0.8367415,1.1969899
575,0.8344439,1.8414114
87,0.8333899,1.7229646
428,0.82950824,2.4631617
211,0.8229575,2.5016932
455,0.8208686,2.2448835
968,0.8204086,0.98606086
183,0.81164616,0.90425694
246,0.8085201,0.9960654
310,0.805588,2.4484215
422,0.8034789,0.31783217
47,0.8021747,0.96934605
22,0.80143315,1.4054687
326,0.79930985,1.121766
360,0.7984015,0.9822662
26,0.79607624,1.7592752
872,0.7959348,2.0504103
1014,0.79039645,1.4116393
359,0.78910446,0.83843106
368,0.78231907,1.3691993
101,0.7812878,1.2642436
757,0.7769592,1.3923776
352,0.7767967,1.3912017
926,0.7726796,2.405132
401,0.77058184,1.5894743
755,0.77029145,1.4275764
63,0.7700665,1.8838246
600,0.76711464,2.3128176
273,0.76502633,1.604526
478,0.76247275,1.2529385
766,0.75292695,1.1909575
688,0.7515856,0.89805806
953,0.75115836,1.9285161
104,0.74568915,1.0380565
5,0.7454635,1.0125751
329,0.74162436,0.8566096
465,0.73612297,0.7478629
892,0.7291511,0.86569154
102,0.7286046,1.2778468
958,0.7255031,2.4124002
697,0.7247555,0.9107514
540,0.72119904,1.6645559
1011,0.7184017,1.6647005
381,0.71826154,1.048875
243,0.7174427,1.597663
881,0.7151679,1.174844
500,0.7047989,0.5014919
162,0.70451057,0.75204587
948,0.7007009,1.4434456
32,0.6979823,1.3366126
803,0.6957638,0.9281723
385,0.694022,0.91423225
666,0.6878028,0.76772046
209,0.6850408,0.7150134
453,0.6822759,0.7070594
1020,0.6761471,0.87079775
17,0.6751645,1.1396943
943,0.6702469,0.88882107
1009,0.66695803,0.80931103
491,0.66363406,1.0721493
222,0.6618795,1.3598204
413,0.65463084,1.33389
1013,0.65428483,0.8937206
23,0.6489477,1.5264027
923,0.64767784,0.87618315
539,0.64728075,1.1819866
257,0.64705706,2.3136613
197,0.6458273,1.75647
205,0.6453513,1.2562327
193,0.64410925,1.0500526
19,0.63480675,1.60347
754,0.63440967,1.0355346
620,0.6324871,1.1498137
232,0.6297656,0.28366473
167,0.62714577,1.1977661
126,0.6263332,1.1308138
347,0.6257863,0.7237805
437,0.62386954,0.51590145
403,0.6234015,1.0111134
52,0.6177022,0.96709406
994,0.6142937,0.4865976
34,0.6091686,0.7293837
429,0.6082257,0.6435933
606,0.6081654,0.91391075
552,0.6043797,0.85466564
594,0.6041792,1.4171538
119,0.60152364,1.1011778
440,0.6002102,0.40215957
542,0.59904516,1.4180677
950,0.5978947,1.140805
314,0.59442985,0.28705412
375,0.5925245,1.0256568
146,0.5843786,0.9320856
474,0.5829326,0.49856836
739,0.581589,0.76431406
120,0.5790705,0.41445026
527,0.57642263,1.6306713
601,0.57431203,1.2814634
572,0.5736459,0.2706414
100,0.57116306,0.75352263
582,0.57112765,0.49780315
471,0.57095265,0.8954828
398,0.5677621,0.623732
20,0.56479836,1.0184267
155,0.562596,0.6435475
423,0.5623729,0.8557686
778,0.5609952,1.0149264
217,0.56095505,1.4825199
330,0.55736583,1.0498561
115,0.5552221,0.49431977
1010,0.5533858,0.56727815
212,0.552922,0.6721845
1006,0.55268574,0.8464939
768,0.55246276,1.9473956
839,0.5516022,1.5626318
880,0.54944056,0.6262209
184,0.5493427,2.2100935
742,0.5485192,1.2575579
296,0.547778,1.2468674
623,0.54670054,1.4203911
187,0.5459266,0.8631083
496,0.54590887,0.850428
190,0.5426656,0.6501364
877,0.5398066,0.6225475
541,0.5358207,0.97569865
198,0.5352342,1.1130583
908,0.5335369,0.915115
263,0.52788687,0.39892587
145,0.52768564,2.1014314
425,0.52558154,0.7211174
316,0.5247787,1.0743864
984,0.5242995,0.5120451
431,0.5214449,0.89335835
164,0.5212847,1.6458666
695,0.5189034,1.1084554
118,0.5142548,0.48433477
227,0.5115305,0.7227055
404,0.5102949,1.0233419
220,0.5102626,0.64735806
630,0.5101473,2.3580148
131,0.50975394,0.7587233
361,0.5096601,0.9914956
457,0.504638,0.42625955
790,0.5044455,1.3105185
1001,0.5017426,0.40458283
813,0.49940735,1.1237648
280,0.49737537,0.22089587
444,0.49611944,0.74984
713,0.49255994,1.0495875
551,0.49196863,1.5225692
878,0.49021763,1.6152856
549,0.4895007,0.51061785
712,0.48884213,0.974932
499,0.48787713,0.98091924
242,0.48774305,2.5886638
759,0.48676395,0.5672385
876,0.48600057,0.6666893
554,0.4823786,0.5161523
475,0.48226425,0.78492016
563,0.4817597,0.5029863
625,0.47992384,1.9238257
535,0.47921228,0.5437041
956,0.47713697,0.822358
472,0.47705013,0.7505907
628,0.47674716,0.94402564
24,0.4752167,0.9477106
725,0.4731757,0.21838844
476,0.472602,1.5993267
135,0.47249088,0.38047367
702,0.46924445,0.6219386
544,0.46854013,0.4015152
869,0.46756816,0.6005717
898,0.4668805,0.8342811
678,0.4655212,0.96003306
751,0.4651606,0.89188224
1021,0.46385175,0.8465858
244,0.4632268,0.6322149
29,0.4620408,1.7750499
60,0.46037287,0.8661535
348,0.45993477,0.5751091
163,0.4584591,0.746562
218,0.45783418,0.68471205
262,0.45771468,0.7586329
862,0.45552146,1.5418327
228,0.4487148,1.0030172
567,0.44859406,1.3414788
466,0.448474,0.81226766
719,0.44554323,1.0642862
157,0.44547257,0.6981148
850,0.44523722,0.7094217
30,0.44496542,0.6671069
483,0.44336656,0.89938855
822,0.44298992,0.6985524
480,0.44224095,0.8050221
502,0.4414323,0.57732564
458,0.43983993,0.8350047
929,0.43865752,0.55224234
442,0.4365261,0.7418741
806,0.436337,0.7385908
846,0.43374467,0.79024553
369,0.43038487,0.88078547
983,0.42743927,1.212156
970,0.42689368,0.9545233
178,0.42502084,1.0250049
949,0.42487276,0.42443275
62,0.42419177,0.6484115
728,0.42290616,0.5913763
1018,0.42257878,0.41536704
251,0.42174244,0.7406838
54,0.4185316,0.48954135
114,0.41792285,0.29634488
553,0.41574636,0.758835
51,0.41449437,0.3577217
58,0.41411576,0.48958114
379,0.41367084,0.43910176
613,0.4130135,0.50247157
335,0.41228327,0.7473173
394,0.41196132,0.48833707
627,0.4118223,1.197618
339,0.40992075,0.9598398
424,0.40895748,0.6705762
371,0.40782887,0.39220518
264,0.40650758,0.76024085
650,0.40613973,0.5958246
199,0.40486133,0.8772512
15,0.40315872,1.3762087
971,0.40282136,0.97475797
507,0.4023282,0.42764023
832,0.40093356,0.84772694
740,0.40050852,0.7442006
720,0.400311,0.9658736
160,0.39771497,0.6992249
664,0.39752313,0.70940137
579,0.39515406,0.11738239
144,0.39379016,0.47127312
486,0.39336577,0.4744894
255,0.39104956,0.31182304
909,0.3899886,0.49367774
602,0.3898213,0.9688213
598,0.38836688,0.507918
947,0.38744706,0.4519033
479,0.38665134,0.46370447
771,0.38655216,0.4174836
325,0.38654557,0.67971027
641,0.3863677,0.26029173
44,0.38142592,0.3141591
977,0.380718,1.2287394
704,0.3793742,0.62506974
715,0.37925756,0.6730467
342,0.37774718,0.7556788
405,0.3768011,0.3018456
769,0.37679356,0.5518075
1000,0.37573874,0.489003
66,0.37495077,0.6507893
448,0.37115884,0.39518312
305,0.37048215,1.0542359
940,0.37036914,0.60313636
508,0.36510733,0.48739815
985,0.3631423,0.74605405
90,0.3628372,0.42236698
252,0.36141795,0.63013446
568,0.3612265,0.35502082
203,0.35895938,0.5280389
730,0.3581217,1.2514634
451,0.35710713,0.6998617
231,0.35194167,0.45237264
583,0.35136625,0.44954973
201,0.35073373,0.5605094
210,0.34941253,0.59150517
717,0.34624487,0.5603074
446,0.34451118,0.6480961
351,0.34414425,0.7120288
555,0.34230036,0.3060164
930,0.34209153,0.70011777
121,0.3418607,0.4213424
986,0.33937502,0.53706264
185,0.33586898,0.93511754
632,0.33422267,0.40275085
550,0.3331862,0.3517289
703,0.33260435,0.3952203
888,0.33164445,0.82539487
735,0.3312475,0.5469272
675,0.33000082,0.46171916
534,0.32980162,0.43074107
328,0.3290938,0.55295837
656,0.3275609,0.37590766
55,0.32592976,0.5556474
871,0.32590783,0.4263995
636,0.32534823,0.4775231
987,0.32515278,0.5212159
521,0.32391763,0.33847916
927,0.32355538,0.41918713
722,0.3232233,0.17923081
307,0.32252517,0.43065846
921,0.3218056,0.4684341
498,0.31979388,0.4123097
96,0.3197515,0.46412206
355,0.31954694,0.44920638
825,0.31872153,1.2969414
28,0.3186825,0.66395533
293,0.31775397,0.7896131
596,0.31751266,0.50539684
560,0.31424433,0.2055575
276,0.31399554,0.39572126
304,0.313905,0.5219366
756,0.3125581,0.41546112
384,0.3113189,0.33734822
526,0.31047708,0.35092235
128,0.310086,0.8840053
811,0.30990726,0.67287755
42,0.30777708,0.72176355
918,0.30753204,0.5695989
945,0.30648693,0.45501992
653,0.30593342,0.47544995
354,0.30575478,0.39601406
817,0.30515617,0.37028617
645,0.30451226,0.7370942
644,0.30419523,0.98636156
528,0.30306298,0.47610992
84,0.30224556,0.31624657
364,0.30103526,0.48347527
612,0.30102363,0.63289243
833,0.30007136,0.43280828
438,0.29930162,0.26484454
156,0.29892623,0.29439098
988,0.29876816,0.8436179
522,0.29814416,0.425956
376,0.2976271,0.6708046
92,0.29729646,0.48603985
900,0.29575852,0.2880543
954,0.29574716,0.5375461
111,0.29544598,0.35917762
533,0.2947916,0.38778958
161,0.29330724,0.7052355
724,0.29321596,0.44274935
781,0.2905107,0.4292236
1022,0.2903797,0.2992551
814,0.2902514,0.6871867
485,0.28890714,0.5573011
545,0.28878912,0.4840414
707,0.288153,0.33454093
815,0.2874149,0.4030971
388,0.28739405,0.57000977
484,0.2826406,0.42045468
341,0.2814073,0.73216015
153,0.28073817,0.54308933
951,0.27871063,0.30903852
390,0.27746177,0.8495716
239,0.2765782,0.4517047
133,0.27609372,0.5053606
159,0.27517128,0.29694527
73,0.2744295,0.5737348
439,0.27235276,0.30699372
896,0.27230042,0.5101909
515,0.27139926,0.62068415
138,0.27107453,0.37439334
992,0.2700494,0.24935982
680,0.26976073,0.7262094
638,0.26940545,0.42688087
14,0.26910546,0.5435562
774,0.26832306,0.30952865
855,0.2678729,0.24268477
240,0.26603767,0.44991294
753,0.26578227,0.19582084
295,0.2649665,0.2893869
701,0.26472205,0.5191679
189,0.2644608,0.16260421
194,0.26434353,0.3641361
961,0.2636688,0.38319546
169,0.26202214,0.5330251
963,0.26133794,0.32727987
799,0.259733,0.5162143
851,0.259599,0.3287478
894,0.258092,0.33010346
286,0.2574321,0.85639834
611,0.25703412,0.38958555
584,0.25605887,0.46039563
318,0.2552529,0.26113027
174,0.2531194,0.41455087
139,0.25169304,0.1765607
493,0.25162563,0.41088188
94,0.24994865,0.4667236
705,0.24957097,0.4368558
669,0.24902955,0.14670122
667,0.24890552,0.49651182
49,0.24831018,0.50228584
562,0.24748953,0.23290977
775,0.24690537,0.417589
651,0.2461124,0.18205424
765,0.24535999,0.46994594
561,0.2447718,0.26129162
577,0.24448006,0.38451958
268,0.24401298,0.6885415
914,0.2423344,0.20136474
333,0.24189286,0.2114408
998,0.24178365,0.6458463
290,0.24108607,0.3424859
349,0.24055904,0.14272207
505,0.24010266,0.18804282
149,0.23973398,0.26469222
796,0.23871982,0.23911095
905,0.23828274,0.510123
256,0.23723423,0.32891423
37,0.23638615,0.24263033
