Channel Index,Mean Activation,Variance
629,4.839178,2.5582743
518,3.666352,7.6685038
816,2.7332115,4.3432837
241,2.480931,3.3135977
137,2.4728308,2.9272785
48,2.3414423,1.6381665
225,2.331265,3.561777
821,2.1771078,1.6800231
752,2.1620674,2.5156026
785,2.133355,3.385069
287,2.1158736,4.2918444
1003,2.0846272,4.9458694
798,2.0836196,2.9926882
406,2.0187182,3.0379717
672,1.9993048,3.0089517
506,1.9989077,3.5625334
936,1.9577818,2.8926618
6,1.8863332,1.0121377
221,1.8383799,1.6140745
686,1.7993925,0.75753033
204,1.7613697,2.2599754
378,1.7459617,2.0651963
665,1.7184018,2.1271126
397,1.7127157,1.7599468
621,1.6878418,3.0204778
743,1.6825795,6.7073793
952,1.6701429,0.97917295
46,1.6682385,2.3320055
196,1.6678666,3.011911
933,1.6594409,1.871003
461,1.6344948,1.0991609
990,1.6136851,5.3759117
85,1.5800889,4.0371656
86,1.5570886,2.6415431
903,1.4940373,2.6040814
546,1.4884422,1.8961054
557,1.4763134,1.3914995
865,1.468704,2.362207
140,1.4598713,1.8015318
978,1.4471061,1.6839547
649,1.4412453,1.1094761
449,1.4209839,1.2203014
1016,1.401264,2.1878657
872,1.3989422,2.9762864
469,1.3744026,2.7876577
65,1.3591022,2.0293818
982,1.3470106,1.6606715
284,1.3425349,2.5960236
861,1.3074348,1.1657709
152,1.3069799,1.4851564
626,1.2958958,1.984793
17,1.2881929,1.5212331
512,1.2848346,1.3730426
520,1.2666042,2.6131425
738,1.2616228,1.975296
556,1.2514088,2.242196
1004,1.2361076,2.6376827
630,1.232774,5.4050174
706,1.2282162,1.7582535
628,1.2144156,2.303445
866,1.2080928,0.5611184
61,1.1950872,1.3858794
110,1.180407,1.8612866
143,1.1764865,2.9215786
18,1.176104,0.60473275
236,1.1744952,3.1905832
734,1.1683944,2.8813276
467,1.1377028,0.902896
639,1.130841,0.81660223
593,1.1239516,1.5201433
792,1.1231906,1.0214297
870,1.1101192,1.40788
697,1.1016233,1.1305015
436,1.0970846,1.8635118
901,1.0957241,1.2209136
890,1.0903704,1.4288576
708,1.0734377,1.7580311
182,1.0489119,1.883301
504,1.0355517,1.3983207
272,1.0343987,1.0035596
1013,1.0335245,2.649376
852,1.0308902,1.034235
481,1.0291433,1.5379221
834,1.0204679,2.1498535
209,1.013792,1.0006626
56,1.0086663,1.959474
465,1.0050228,0.7798979
841,1.0031568,2.107523
202,1.0002344,2.1470184
33,0.9869004,0.77292824
257,0.9854239,2.2536912
77,0.9714036,0.78194654
326,0.9674125,1.2201259
407,0.9669219,1.5652282
119,0.95995605,1.5783818
220,0.9597814,1.2026082
381,0.95754147,0.9220208
772,0.9552618,1.9979892
387,0.95429933,1.0120609
80,0.95230067,1.8890208
494,0.94614863,1.088473
245,0.9437922,0.3453428
269,0.9364826,1.8531255
294,0.9276223,1.3469431
631,0.92705584,0.8615266
296,0.9243274,2.9147313
