Channel Index,Mean Activation,Variance
629,4.7063093,3.1511803
518,3.6530576,6.753798
241,2.9665384,3.411963
6,2.9051218,0.39701828
137,2.592566,3.3079395
1003,2.4795308,4.5135036
86,2.2094703,3.2085567
672,2.04517,2.3198638
225,2.0418317,2.9757586
621,2.0184515,3.1477385
461,1.9143097,1.4401052
952,1.9010223,1.0677892
287,1.8765347,2.8108294
406,1.866515,2.1851373
785,1.865119,3.0770137
546,1.8366024,2.1559646
865,1.8274755,2.981611
752,1.8184166,2.6675215
639,1.7767409,1.1859851
821,1.7707173,0.86938155
936,1.7607527,2.3140242
706,1.7545137,2.471621
196,1.7523375,3.2723095
665,1.7285249,2.2207484
901,1.7113798,2.2352352
1011,1.6830595,4.0395474
816,1.6813935,3.5555134
649,1.6698682,0.5950529
841,1.6697187,2.8171072
284,1.6593649,3.1852136
686,1.6186254,0.98992
48,1.6119778,1.6045408
776,1.598074,1.1484292
982,1.5947081,1.9588484
762,1.5918862,1.805104
772,1.574899,3.6217852
296,1.5647646,4.0340805
557,1.5472274,1.4927645
209,1.5164695,1.6027844
252,1.5014694,2.5195298
77,1.4729931,0.7061933
978,1.4624188,1.7607839
494,1.4603026,1.5570488
779,1.4558021,0.61096716
236,1.4452101,2.7357924
294,1.4368548,1.6922318
469,1.4248259,3.1962566
803,1.4178705,1.2691531
249,1.4072635,2.0465403
798,1.3998326,1.7743856
221,1.3962463,1.60624
933,1.3749306,1.8541486
903,1.3658903,2.6578765
990,1.3335884,3.5335293
407,1.3103762,2.4688435
866,1.3046386,0.58434874
870,1.3026863,1.6583893
3,1.297023,1.7019963
143,1.2926135,2.5184817
512,1.2897787,1.5307004
436,1.2831342,2.2442603
991,1.2779689,3.0062802
204,1.2630367,1.61531
626,1.253628,1.8183534
387,1.2514019,1.2698574
80,1.2381554,2.5843341
326,1.2227998,1.845115
467,1.2220588,0.47102055
26,1.2201003,1.8433844
330,1.216017,2.2652876
468,1.2100713,1.836081
152,1.1942635,1.2416416
778,1.1880077,1.6215239
248,1.1822915,2.3060021
1004,1.1627877,3.4389968
742,1.155789,2.7793708
397,1.144348,1.2519243
827,1.141902,1.1712928
729,1.1415232,1.7218719
481,1.1314275,1.4693584
211,1.1267273,2.3112397
347,1.123209,1.4530739
18,1.1173586,0.45813236
119,1.1145539,1.5328612
474,1.1136388,0.79771715
297,1.1125754,1.4129534
227,1.1109682,1.4572091
1007,1.1106491,2.5831585
697,1.1069733,1.188055
792,1.1032103,1.2867329
734,1.0915158,1.9317861
33,1.0900095,0.57257736
283,1.07526,1.5896839
367,1.0630256,1.5105022
435,1.0617927,3.0256255
925,1.0539899,1.0890535
1020,1.046211,1.4798598
1,1.0316079,1.7441313
506,1.024653,2.163123
140,1.0220985,1.2628566
245,1.0220515,0.32923836
131,1.0199487,1.1486247
85,1.0122432,2.5354242
360,1.0082738,1.0903621
110,0.9940407,1.5179762
46,0.98823047,1.515527
743,0.9837731,5.7302856
543,0.9599143,1.2989585
213,0.9534064,1.7048812
556,0.94991684,2.4695396
440,0.9482957,0.38736036
167,0.9444125,1.5245388
520,0.94364214,1.4696106
335,0.94284415,1.781383
376,0.9203814,1.9917698
541,0.9119812,1.8517807
381,0.9118133,1.185401
504,0.90962213,1.5460812
368,0.9063431,1.8612351
631,0.9062892,1.1581804
892,0.90395916,0.8636456
87,0.90207666,1.752881
852,0.9010421,1.1750345
882,0.9002527,2.1812472
266,0.89104486,2.0105257
766,0.8901763,1.1715167
554,0.8748175,0.75428164
984,0.87082356,0.59888744
243,0.86594623,1.7310207
1009,0.8645605,1.2375438
694,0.86387867,0.77673256
183,0.856858,1.2922405
61,0.8530878,1.1484647
5,0.8506243,1.007983
162,0.85034615,0.9172934
1016,0.83909166,1.3198526
940,0.8258768,1.5096048
890,0.8205552,1.0645657
422,0.8182376,0.30986863
757,0.8164592,1.2814264
102,0.8116413,1.3155645
222,0.79878014,1.5297844
582,0.7956303,0.88330686
708,0.77342474,1.2261026
115,0.7707031,0.5834891
555,0.7555646,0.46053398
316,0.7533089,1.1178668
861,0.75098467,0.8005464
455,0.7499938,1.6176637
65,0.738773,0.8629596
921,0.7379272,1.1139826
56,0.73673236,1.2003173
449,0.73377025,0.6186542
120,0.73277587,0.33648762
193,0.7321491,0.9805285
52,0.73192656,1.0383402
575,0.72832274,1.0002176
178,0.72795147,1.3650239
881,0.7259613,1.0649587
23,0.7209817,1.6906843
310,0.718775,1.5484942
34,0.71753514,0.61764157
