Channel Index,Mean Activation,Variance
629,5.7998753,3.7760897
241,3.336268,3.5046158
137,3.3326416,5.788268
518,3.2037728,5.747982
6,2.663891,0.4204955
196,2.6505494,4.2449493
86,2.6413345,3.8302355
841,2.6359398,4.361179
621,2.5001926,5.1859894
225,2.3048964,4.829598
252,2.2336285,2.9735157
406,2.1594467,2.34955
672,2.153915,2.1583626
706,2.138228,2.243485
952,1.9860485,1.104082
639,1.9844133,0.9909991
461,1.9586406,1.2553154
821,1.9461037,0.6730088
978,1.9313235,1.9845567
982,1.9161124,2.1478407
665,1.8915749,2.3550794
936,1.875829,2.6544771
326,1.8678052,2.4849744
557,1.8651236,1.7793597
209,1.8607428,1.9671947
46,1.8164525,3.1148477
816,1.8133991,3.1215434
1003,1.7793292,3.120415
901,1.7554522,1.9307418
297,1.6713828,1.5364048
436,1.6665637,2.2580261
798,1.6556227,2.7356615
865,1.6372551,2.4473686
778,1.6306987,2.624894
752,1.5972856,2.0658839
776,1.5926793,0.7073117
1011,1.5903745,3.3456063
626,1.5711682,2.0243683
287,1.54107,2.8993335
940,1.5213896,2.4734087
933,1.5170195,2.2686706
284,1.5059245,2.396159
686,1.4999317,1.0508931
221,1.4839613,1.57676
866,1.4490223,0.47896683
785,1.4437418,2.8309693
990,1.4349545,4.249421
110,1.4263215,2.1272755
474,1.4152042,0.7776294
227,1.4041159,1.9965401
167,1.3897612,1.8322612
102,1.3871417,2.1514826
236,1.3835161,2.7013304
143,1.3800281,2.6565077
870,1.3522797,1.3666848
211,1.349576,2.8053987
468,1.3448725,1.7246494
762,1.3308134,1.9376433
26,1.3107247,1.897099
469,1.2875512,3.1376383
272,1.2743301,1.3089306
294,1.2651734,1.562098
77,1.2646369,0.7129612
33,1.257907,0.83991736
296,1.2437567,3.9727662
792,1.2320364,1.2828032
248,1.2228875,3.0910602
1020,1.2053511,1.1133838
193,1.1860666,1.4574094
152,1.1856282,1.1168253
729,1.1808158,1.3654938
407,1.1770179,4.003209
1009,1.1676778,1.3496177
378,1.1658248,1.4735084
991,1.1635107,2.4985929
381,1.1627746,1.5721272
779,1.1527306,0.5005535
48,1.1519129,1.1465335
347,1.1475031,1.4749477
397,1.1404302,1.454911
467,1.1226916,0.3749845
249,1.0937407,1.5028491
162,1.0882465,0.8422562
546,1.0870941,1.6638032
440,1.084238,0.4178039
803,1.0841292,0.70365417
694,1.0734477,0.9753933
310,1.0711486,2.1105008
890,1.0582187,1.3283153
892,1.0466866,1.0413493
984,1.0444517,0.81257266
18,1.0332086,0.5451117
751,1.022738,1.7343903
512,1.0219154,1.6507218
697,1.0205307,0.8493334
554,1.01913,1.0653923
971,1.017021,1.6907531
194,1.0095024,1.1780083
555,1.005382,0.43615514
245,0.9959175,0.34734195
582,0.9958184,1.2074186
387,0.9895328,0.7629713
494,0.9842337,1.0478275
62,0.9820343,1.2783794
100,0.96596247,1.137687
283,0.96153545,1.7283578
630,0.95223916,5.979645
852,0.9512306,1.2796721
943,0.9503996,0.6764076
335,0.9448186,1.3006222
431,0.9379002,1.7664444
330,0.92498773,1.2881677
458,0.92248416,1.3056351
228,0.9212259,1.1433474
734,0.9162177,1.5459507
481,0.91604066,1.1621604
903,0.9130863,1.585664
80,0.90517765,1.783015
243,0.9019693,1.6968441
360,0.8963178,0.96320856
543,0.8928448,1.243131
56,0.89173585,1.3278338
204,0.8898257,0.9493562
834,0.8894593,1.6400428
649,0.8893559,0.34361032
449,0.88914096,0.68436337
606,0.88817555,1.3257939
379,0.88775384,0.9296966
504,0.8856534,1.2849506
367,0.88070035,1.7358005
401,0.87653744,1.3490396
85,0.8758798,1.8136382
925,0.8694883,0.8636333
119,0.86295736,1.2351681
930,0.8611096,1.8247553
1016,0.85406435,1.1318684
772,0.8531679,1.9404954
61,0.8515673,1.1684713
140,0.84054285,0.89390373
881,0.84025973,1.4083538
1010,0.8360739,0.47529227
505,0.83459854,0.82752985
423,0.82821023,0.9447422
240,0.8176579,1.5686362
506,0.8155575,1.2296814
1004,0.8139611,1.7738522
457,0.8031821,0.5510628
465,0.7931272,0.7419633
572,0.7930736,0.3102379
507,0.79279494,1.0582457
884,0.78875875,3.163024
695,0.78587264,1.1234426
1014,0.78376937,1.374795
374,0.7822623,0.577494
583,0.7794013,0.8282539
1,0.77411115,1.6191428
827,0.769996,0.8981284
491,0.76859653,0.95195675
553,0.7602762,1.1249089
768,0.7592676,1.8403351
631,0.7459779,0.9381488
316,0.74455893,0.860715
442,0.7412858,0.9513569
688,0.73626596,0.8379649
766,0.73511976,0.84920704
923,0.73046076,0.94643414
739,0.72762704,0.35306403
921,0.7229912,0.9383357
161,0.7203909,1.4857156
594,0.715909,1.7646867
23,0.71087384,1.5696664
535,0.71017444,0.55927104
