Channel Index,Mean Activation,Variance
1003,3.724047,6.7514706
518,3.508975,6.666071
743,3.2107196,7.8915577
629,3.0003777,4.10794
406,2.7069192,3.5256517
665,2.518829,3.0351315
461,2.3427987,1.324668
221,2.3158503,1.424695
449,2.217494,1.0437549
204,2.1078863,3.248147
1004,2.093354,5.269087
816,2.0486295,2.4811118
469,2.0343146,3.7010345
6,2.0196602,0.932542
183,2.0126023,1.6892605
822,1.9508582,2.3043668
546,1.8909415,2.6392322
225,1.8866603,3.5746243
639,1.8822998,1.5254169
865,1.8765209,2.7069185
213,1.8749318,2.8393877
752,1.8493584,2.1151185
152,1.8486718,2.4908044
284,1.7860377,3.0177402
241,1.766037,2.9684134
555,1.7622038,0.91844654
368,1.759391,3.0112042
231,1.7503717,1.7566569
952,1.7419478,1.0254879
85,1.7380294,3.7528055
785,1.7286077,2.564147
543,1.7272245,1.9997554
5,1.7078428,2.1072128
407,1.66567,2.624654
80,1.6273615,2.9547462
982,1.6131319,1.8440843
686,1.6071818,0.73784006
866,1.5885587,0.79977435
882,1.5503137,5.0747147
672,1.5046812,2.5760658
792,1.5004506,1.3677363
520,1.4834499,2.4191618
827,1.4238589,2.1607122
557,1.4069465,1.6850063
861,1.4060642,1.3476505
61,1.3983227,1.83172
821,1.3952341,1.3098396
791,1.3925599,3.0216398
248,1.3874213,2.7441747
971,1.3706454,2.41069
506,1.3655591,2.2961953
287,1.3613095,1.9459598
991,1.3244545,2.9111338
137,1.3017246,2.2323768
541,1.3005905,2.861462
367,1.2931293,2.2837744
140,1.2784584,1.4398769
936,1.2616698,1.9282866
527,1.2593465,2.6608107
903,1.2273301,2.1120129
478,1.2159815,1.3145698
512,1.2109874,2.5516937
708,1.1930727,1.5697811
56,1.1899929,1.894088
245,1.1838912,0.5501989
46,1.1589874,1.9463334
127,1.1526859,1.7176379
631,1.1381116,1.1273876
968,1.1197046,0.93680805
244,1.1138098,1.2691175
435,1.1074626,1.8892463
48,1.1027629,1.0659431
532,1.1006142,1.941233
431,1.0983528,1.9248687
335,1.0971339,1.3840822
890,1.0941693,1.462819
593,1.0937176,1.7259725
455,1.0907099,2.2896538
626,1.0887579,1.03121
734,1.0753627,2.6805189
436,1.072768,2.0690322
235,1.0712589,2.4963925
336,1.0695996,2.327216
649,1.057223,0.5771176
65,1.0444175,1.2909447
397,1.0439668,1.2402877
950,1.0351421,2.4794564
872,1.0330819,2.2049246
539,1.0201542,2.6848204
47,1.0192838,1.5418726
762,1.0095778,1.1161233
594,0.9993014,2.5863817
742,0.9955173,2.3768308
494,0.9948473,1.0549767
534,0.9940625,1.0167654
391,0.9929183,0.71601105
375,0.97451603,1.322939
1007,0.97401243,2.263417
776,0.96540236,0.9576908
347,0.96457213,1.153231
575,0.94024825,1.1131715
465,0.9394226,1.5595399
798,0.9355558,1.0814106
779,0.9349454,0.61174554
1013,0.9301024,1.171746
3,0.9295058,1.4537196
559,0.9210976,0.8816491
990,0.90857774,1.7530161
86,0.90135956,1.2804406
602,0.89399594,2.0140822
713,0.89185536,2.3999817
481,0.8829168,1.1357074
220,0.8811608,0.823124
664,0.87468934,1.4593601
297,0.87240565,1.6019167
953,0.86877716,2.7418175
739,0.8662271,0.6405835
87,0.8660383,2.0212052
115,0.8599381,1.0172253
767,0.857523,0.94682753
772,0.85742277,1.8408967
691,0.8512328,1.8147002
18,0.84512454,0.67343503
19,0.8401253,1.8452469
403,0.82883114,1.4150032
33,0.8242095,0.8146247
870,0.82329416,1.012176
869,0.80186445,0.94889283
697,0.80055326,0.8583151
60,0.7997122,1.2795882
387,0.7969318,0.8875331
500,0.79265,0.6424003
582,0.79253954,0.7866404
467,0.78429663,0.43710726
943,0.76732695,0.45753562
275,0.7610406,0.87408906
273,0.75750023,1.41991
880,0.75721014,0.69884574
379,0.7455197,1.0117354
294,0.7449388,0.9080541
852,0.74315757,0.7613081
601,0.7424657,1.1335235
118,0.74183625,0.8609109
199,0.73845124,1.3878495
120,0.73002404,0.42410606
240,0.72935647,2.2898881
777,0.727582,0.80098075
92,0.72694165,1.229316
157,0.7256125,0.8026328
422,0.7250261,0.34891957
576,0.7213188,1.2635628
876,0.7207922,0.8576983
755,0.71957755,0.7563351
222,0.7164888,1.5928476
620,0.7101534,1.1800109
486,0.709616,0.8387395
1009,0.7009482,1.2215557
107,0.6993801,0.6969176
352,0.69892114,1.1230727
246,0.6985179,0.67278
143,0.6982695,1.4517189
738,0.69099784,0.96326405
24,0.68932456,1.4081686
263,0.6836075,0.3908804
994,0.683205,0.43697158
652,0.6821162,0.8937551
77,0.6768397,0.5045093
468,0.6725555,1.4080603
614,0.66992676,1.2116289
784,0.65847397,1.1248039
169,0.65804696,2.1971207
702,0.6563513,0.59537566
900,0.65581924,0.84007245
768,0.6552995,1.1717072
491,0.65495163,0.6782332
209,0.6437315,0.6531934
110,0.6404361,1.2819393
448,0.6342848,0.70808244
925,0.6338521,0.6654945
706,0.627651,0.97403044
437,0.6209863,0.5445065
203,0.6178579,1.0157794
420,0.6127746,1.6983107
556,0.61192864,1.3338243
1020,0.6083124,0.8183592
621,0.6030858,1.1059369
360,0.6015953,0.40583792
160,0.5995454,1.0200001
930,0.5923662,2.4474955
707,0.58953875,0.7248888
725,0.5891967,0.18173398
453,0.58825105,0.6171265
765,0.5835933,1.0810413
834,0.58236736,0.99146056
401,0.5761431,1.1239729
264,0.57225776,0.9281625
1021,0.563757,0.94618404
759,0.5615499,0.75831914
26,0.5559461,0.78260076
423,0.55589676,0.813743
1010,0.5549686,0.6182293
374,0.5537208,0.5746286
135,0.5531382,0.47988132
640,0.5503216,0.67071575
405,0.54945904,0.92371047
272,0.54855764,0.78568757
637,0.5452606,0.3932961
283,0.5424378,0.6706912
339,0.5418806,1.0411506
538,0.54183966,0.73481876
44,0.54127103,0.48148328
896,0.5356956,0.78469545
839,0.5351621,1.2943625
308,0.53345174,1.1342692
567,0.53098506,0.8127198
466,0.5306997,0.8284047
926,0.5274735,1.6096362
212,0.52491784,0.5246042
978,0.5248562,0.6426363
933,0.5236908,0.5505096
1011,0.5228799,1.1126797
404,0.5228792,0.7024037
218,0.51574546,0.7164011
550,0.5131606,0.6127461
604,0.50979257,0.613556
970,0.5058258,1.1615406
528,0.5045156,0.9339642
694,0.50239486,0.5998295
167,0.5016894,0.86190057
471,0.50127584,0.59216845
607,0.5007596,0.5896893
958,0.50050014,0.7666915
119,0.49994257,0.93989307
595,0.49991682,1.4151899
988,0.49913403,1.7629799
182,0.4930677,1.1182534
269,0.49301246,1.1290268
1,0.49181494,0.62842846
184,0.48996773,1.2558565
729,0.48723754,0.6392217
722,0.48482668,0.331682
741,0.48229492,1.0670726
255,0.4806029,0.5474748
266,0.47943616,1.2431061
803,0.47628364,0.3234516
79,0.47602224,0.4390033
712,0.47322202,0.7012709
196,0.47230366,0.84216404
715,0.46828282,0.6438038
526,0.46637654,0.65264404
688,0.4642217,0.49747938
732,0.4641838,0.40120962
983,0.46350613,1.4029473
769,0.46254846,0.6071234
549,0.46183732,0.625341
232,0.46129698,0.15383558
884,0.4610512,0.65419173
162,0.45933068,0.6547428
669,0.4553346,0.38173836
156,0.45516157,0.53938633
398,0.4546301,0.26583302
457,0.454608,0.2813004
42,0.45194456,1.2404758
554,0.4516393,0.42016158
794,0.45102373,0.54217625
1016,0.4508055,0.702864
862,0.44987813,1.0739613
878,0.44563875,1.2365488
472,0.44524527,0.7526603
22,0.44466588,0.6564787
474,0.44393167,0.288491
133,0.44338724,0.65933913
176,0.4413353,0.5614504
552,0.43999547,0.57410663
724,0.43974006,0.634388
327,0.4395618,0.57852733
521,0.43607578,0.354345
138,0.4349762,0.4280344
948,0.43164444,0.5685625
695,0.42895198,0.67791027
63,0.42538306,0.47317788
194,0.42378986,0.6998179
425,0.4184218,0.47678548
901,0.41760662,0.27456078
74,0.41437322,0.8006849
17,0.4128379,0.8438352
361,0.41101694,0.99623084
251,0.40864372,0.79947186
551,0.40510577,1.0612894
370,0.40101835,0.77588344
337,0.39845428,0.4895172
54,0.39388976,0.31555447
790,0.3916902,1.0271302
259,0.391485,0.55573833
819,0.3901467,0.5264342
781,0.389993,0.5851548
498,0.38746616,0.44329855
383,0.38698596,0.6691675
189,0.38674298,0.38053858
23,0.38575906,0.6371053
579,0.38335228,0.091792874
754,0.3833063,0.67424387
364,0.38217634,0.31950307
